All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    Gold_Assembly  IDBA_UD   Ray       SOAPdenovo2  SPAdes  
# contigs (>= 1000 bp)      3245           2075      1980      3132         1957    
# contigs (>= 5000 bp)      503            531       399       377          562     
# contigs (>= 10000 bp)     260            251       189       136          252     
# contigs (>= 25000 bp)     63             58        55        25           64      
# contigs (>= 50000 bp)     21             19        23        4            14      
Total length (>= 1000 bp)   14210192       11849172  10323715  9508497      11734531
Total length (>= 5000 bp)   8966281        8447581   7127068   4152301      8610887 
Total length (>= 10000 bp)  7268632        6499940   5672113   2521846      6409942 
Total length (>= 25000 bp)  4132804        3552276   3645129   923900       3565693 
Total length (>= 50000 bp)  2695602        2185932   2519902   246698       1900337 
# contigs                   8478           4169      3493      6016         4481    
Largest contig              567728         310067    310180    73874        309980  
Total length                17773626       13243040  11380695  11534814     13383083
GC (%)                      51.04          49.26     49.27     49.10        49.49   
N50                         5203           9679      9920      2860         9182    
N75                         1240           2864      2490      1273         2896    
L50                         488            264       191       817          282     
L75                         2450           928       804       2371         939     
# N's per 100 kbp           0.00           0.00      11.79     42.78        7.44    
