Assembly	Gold_Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# misassemblies	0	5	0	0	0
    # relocations	0	0	0	0	0
    # translocations	0	5	0	0	0
    # inversions	0	0	0	0	0
# possibly misassembled contigs	0	64	0	0	34
# misassembled contigs	0	5	0	0	0
Misassembled contigs length	0	11886	0	0	0
# local misassemblies	0	0	0	0	0
# structural variations	0	0	0	0	0
# mismatches	0	3486	5	5270	12711
# indels	0	31	0	964	109
    # short indels	0	29	0	414	96
    # long indels	0	2	0	550	13
Indels length	0	69	0	7755	412
