Assembly	Gold_Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# misassemblies	0	11	12	2	10
    # relocations	0	0	0	0	0
    # translocations	0	11	12	2	10
    # inversions	0	0	0	0	0
# possibly misassembled contigs	0	0	3	0	3
# misassembled contigs	0	9	9	2	10
Misassembled contigs length	0	2164416	1520106	28461	1147192
# local misassemblies	0	0	1	0	0
# structural variations	0	0	0	0	0
# mismatches	0	9	6	491	913
# indels	0	1	9	452	19
    # short indels	0	0	3	174	17
    # long indels	0	1	6	278	2
Indels length	0	9	122	9953	91
