Assemblies                             Gold_Assembly  IDBA_UD  Ray   SOAPdenovo2  SPAdes
Brevibacterium_casei                   403            1728     1101  2441         1807  
Brevibacterium_casei_S18               403            1737     1103  2453         1929  
Burkholderia_mallei_ATCC_10399         1329           3427     607   2383         3783  
Burkholderia_pseudomallei              965            2519     517   2007         2735  
Chloroflexi_bacterium_SCGC_AB-629-P13  72             71       68    108          69    
Clostridium_sp_M621                    886            234      2     23           247   
Enterobacteriaceae_bacterium_LSJC7     52             389      3358  1942         472   
Eubacterium_sp_3_1_31                  65             37       41    1560         25    
Formosa_sp_AK20                        43             55       857   387          69    
Geobacillus_sp_JF8                     3              142      2167  784          197   
Lachnospiraceae_bacterium_2_1_46FAA    1152           204      1591  823          220   
Lachnospiraceae_bacterium_3-2          754            2182     774   2740         2379  
Paenibacillus_peoriae                  182            187      187   2137         184   
Patulibacter_americanus_DSM_16676      32             38       40    641          92    
Patulibacter_medicamentivorans         348            363      357   779          444   
Rhodobacter_sp_AKP1                    1769           481      -     26           619   
Rhodobacter_sphaeroides                2251           479      1     29           658   
Sphingobium_yanoikuyae_ATCC_51230      18             215      112   120          246   
Sphingopyxis_sp_MC1                    2381           888      4     81           1210  
Thermus_sp_CCB_US3_UF1                 2              48       37    75           37    
Weissella_koreensis_KACC_15510         714            939      42    370          999   
alpha_proteobacterium_LLX12A           447            1690     3041  3891         1978  
gamma_proteobacterium_SCGC_AAA076-D02  67             61       60    488          65    
marine_gamma_proteobacterium_HTCC2080  25             37       42    445          31    
