Assemblies                             Gold_Assembly  IDBA_UD  Ray  SOAPdenovo2  SPAdes
Brevibacterium_casei                   0              5        0    0            0     
Brevibacterium_casei_S18               0              72       0    0            26    
Burkholderia_mallei_ATCC_10399         97             356      0    6            174   
Burkholderia_pseudomallei              55             38       0    0            13    
Chloroflexi_bacterium_SCGC_AB-629-P13  0              12       19   8            24    
Clostridium_sp_M621                    21             4        0    0            4     
Enterobacteriaceae_bacterium_LSJC7     0              8        2    2            12    
Eubacterium_sp_3_1_31                  109            50       51   2            48    
Formosa_sp_AK20                        0              13       2    4            14    
Geobacillus_sp_JF8                     0              4        0    3            7     
Lachnospiraceae_bacterium_2_1_46FAA    3              6        1    0            2     
Lachnospiraceae_bacterium_3-2          0              30       0    4            31    
Paenibacillus_peoriae                  33             34       32   3            36    
Patulibacter_americanus_DSM_16676      0              11       12   2            10    
Patulibacter_medicamentivorans         0              14       29   3            15    
Rhodobacter_sp_AKP1                    0              22       -    1            17    
Rhodobacter_sphaeroides                7              8        0    1            4     
Sphingobium_yanoikuyae_ATCC_51230      0              19       0    0            4     
Sphingopyxis_sp_MC1                    0              27       0    0            27    
Thermus_sp_CCB_US3_UF1                 0              0        0    0            1     
Weissella_koreensis_KACC_15510         0              7        0    0            4     
alpha_proteobacterium_LLX12A           0              36       1    4            11    
gamma_proteobacterium_SCGC_AAA076-D02  40             37       32   14           25    
marine_gamma_proteobacterium_HTCC2080  0              1        1    0            1     
