Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# contigs (>= 1000 bp)	15695	6199	9785	13757
# contigs (>= 5000 bp)	1106	1133	877	983
# contigs (>= 10000 bp)	309	483	319	305
# contigs (>= 25000 bp)	109	134	104	110
# contigs (>= 50000 bp)	55	35	53	61
Total length (>= 1000 bp)	42861875	26594328	30310426	38763553
Total length (>= 5000 bp)	16265390	16238160	14248784	15615177
Total length (>= 10000 bp)	10965357	11734163	10487521	11067998
Total length (>= 25000 bp)	8090402	6595240	7199889	8304966
Total length (>= 50000 bp)	6146130	3215565	5407061	6573045
# contigs	38691	13394	26475	35863
Largest contig	343288	305485	560918	343895
Total length	58734689	31491690	41689598	53978616
GC (%)	43.62	43.82	44.02	42.81
N50	1920	5376	2161	1912
N75	948	1613	934	919
L50	5680	1039	3012	4983
L75	16916	3840	10775	15553
# N's per 100 kbp	0.05	713.72	3938.84	57.79
