Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# misassemblies	27	10	1	14
    # relocations	27	10	1	14
    # translocations	0	0	0	0
    # inversions	0	0	0	0
# possibly misassembled contigs	51	63	60	55
# misassembled contigs	19	10	1	10
Misassembled contigs length	548245	35101	11761	273552
# local misassemblies	33	76	19	18
# structural variations	5	2	3	6
# mismatches	52180	34539	19956	48159
# indels	1121	567	497	984
    # short indels	1066	546	338	913
    # long indels	55	21	159	71
Indels length	2111	950	4049	2339
