Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# misassemblies	48	53	13	32
    # relocations	19	14	6	8
    # translocations	29	39	7	24
    # inversions	0	0	0	0
# possibly misassembled contigs	69	79	47	70
# misassembled contigs	25	23	9	19
Misassembled contigs length	244486	252753	83888	187803
# local misassemblies	12	8	10	4
# structural variations	1	1	1	1
# mismatches	18023	19598	11789	17304
# indels	579	630	351	546
    # short indels	541	589	318	519
    # long indels	38	41	33	27
Indels length	1217	1210	1178	952
