Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# misassemblies	20	11	4	16
    # relocations	1	3	0	4
    # translocations	19	8	4	12
    # inversions	0	0	0	0
# possibly misassembled contigs	102	38	25	76
# misassembled contigs	15	8	4	12
Misassembled contigs length	63429	127568	4175	126920
# local misassemblies	60	20	14	18
# structural variations	0	0	1	0
# mismatches	19288	12022	9467	23812
# indels	427	283	189	513
    # short indels	357	276	164	502
    # long indels	70	7	25	11
Indels length	2554	441	706	848
