Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# misassemblies	12	44	2	32
    # relocations	12	44	2	32
    # translocations	0	0	0	0
    # inversions	0	0	0	0
# possibly misassembled contigs	61	111	35	57
# misassembled contigs	11	37	2	28
Misassembled contigs length	29179	508578	6778	239131
# local misassemblies	57	67	29	17
# structural variations	3	11	2	3
# mismatches	28526	41374	14768	29445
# indels	584	908	271	586
    # short indels	508	853	244	538
    # long indels	76	55	27	48
Indels length	2508	1872	1404	2131
