Assemblies                              IDBA_UD  Ray  SOAPdenovo2  SPAdes
Actinomyces_graevenitzii_F0530          19       1    3            15    
Actinomyces_odontolyticus               6        5    5            5     
Actinomyces_sp_ph3                      5        6    2            12    
Atopobium_parvulum                      6        2    2            7     
Campylobacter_concisus_13826            27       10   1            14    
Campylobacter_concisus_UNSWCD           30       8    8            19    
Clostridiales_bacterium_OBRC5-5         29       4    4            29    
Fusobacterium_periodonticum_ATCC_33693  48       53   13           32    
Fusobacterium_periodonticum_D10         199      243  129          191   
Gemella_sanguinis_M325                  31       63   2            39    
Haemophilus_parainfluenzae_ATCC_33392   15       9    2            21    
Haemophilus_parainfluenzae_HK262        3        2    1            16    
Neisseria_subflava                      24       46   19           29    
Oribacterium_sinus_F0268                36       45   11           43    
Prevotella_nanceiensis                  38       23   25           35    
Prevotella_pallens_ATCC_700821          17       1    1            23    
Rothia_dentocariosa                     9        0    0            3     
Rothia_mucilaginosa_DY-18               6        32   0            15    
Streptococcus_australis                 1        13   0            6     
Streptococcus_australis_ATCC_700641     20       11   4            16    
Streptococcus_infantis_X                7        29   0            18    
Streptococcus_parasanguinis_ATCC_15912  35       45   1            24    
Streptococcus_salivarius_57I            12       44   2            32    
Streptococcus_salivarius_K12            19       44   6            26    
Veillonella_atypica_KON                 8        1    1            4     
Veillonella_dispar_ATCC_17748           12       17   3            7     
Veillonella_sp_oral_taxon_158           28       80   3            18    
