Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# misassemblies	1132	407	831	1240
    # relocations	306	92	70	251
    # translocations	84	32	22	90
    # inversions	35	2	6	15
    # interspecies translocations	707	281	733	884
# possibly misassembled contigs	1031	416	352	1623
# misassembled contigs	857	299	683	936
Misassembled contigs length	10448260	4115772	911826	10780557
# local misassemblies	313	1217	10977	287
# structural variations	108	50	56	99
# mismatches	355477	141995	219630	498523
# indels	12524	3729	4227	18364
    # short indels	11033	3383	3899	15225
    # long indels	1491	346	328	3139
Indels length	35483	9447	9641	63455
