All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    IDBA_UD   Ray       SOAPdenovo2  SPAdes  
# contigs (>= 1000 bp)      9266      3430      7653         12388   
# contigs (>= 5000 bp)      899       644       757          1441    
# contigs (>= 10000 bp)     395       267       150          568     
# contigs (>= 25000 bp)     159       56        6            166     
# contigs (>= 50000 bp)     51        7         0            50      
Total length (>= 1000 bp)   31179475  13577392  19480282     41011114
Total length (>= 5000 bp)   15271030  7810188   6282063      19673481
Total length (>= 10000 bp)  11929275  5184704   2199289      13795361
Total length (>= 25000 bp)  8307270   2011775   197247       7739754 
Total length (>= 50000 bp)  4659009   454140    0            3850368 
# contigs                   20053     6857      21087        28661   
Largest contig              305144    78051     40707        183106  
Total length                38837027  15942170  28626572     52077982
GC (%)                      43.49     42.63     42.42        43.71   
N50                         2962      4810      1743         2960    
N75                         1204      1658      843          1141    
L50                         2009      677       3648         3134    
L75                         7392      2169      9824         10560   
# N's per 100 kbp           314.09    2426.23   3638.02      1903.07 
