Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# misassemblies	53	11	20	46
    # relocations	36	4	14	25
    # translocations	15	7	6	20
    # inversions	2	0	0	1
# possibly misassembled contigs	71	39	44	111
# misassembled contigs	33	9	19	36
Misassembled contigs length	1788741	28132	64687	738668
# local misassemblies	27	388	1142	21
# structural variations	6	0	4	6
# mismatches	23454	10873	22306	25138
# indels	1021	272	501	944
    # short indels	883	242	444	808
    # long indels	138	30	57	136
Indels length	3392	766	1854	3142
