All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         IDBA_UD  Ray  SOAPdenovo2  SPAdes
# misassemblies                  0        0    0            0     
    # relocations                0        0    0            0     
    # translocations             0        0    0            0     
    # inversions                 0        0    0            0     
# possibly misassembled contigs  0        0    0            1     
# misassembled contigs           0        0    0            0     
Misassembled contigs length      0        0    0            0     
# local misassemblies            0        0    3            0     
# structural variations          1        0    0            1     
# mismatches                     448      83   72           448   
# indels                         35       4    0            24    
    # short indels               31       4    0            22    
    # long indels                4        0    0            2     
Indels length                    82       9    0            82    
