Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# misassemblies	49	11	4	44
    # relocations	49	11	4	44
    # translocations	0	0	0	0
    # inversions	0	0	0	0
# possibly misassembled contigs	203	41	56	214
# misassembled contigs	43	9	4	35
Misassembled contigs length	286221	28312	5028	239154
# local misassemblies	65	29	226	36
# structural variations	11	1	4	6
# mismatches	36693	5695	9618	35665
# indels	974	163	212	827
    # short indels	897	160	206	787
    # long indels	77	3	6	40
Indels length	2319	230	334	1554
