All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         IDBA_UD  Ray  SOAPdenovo2  SPAdes
# misassemblies                  0        0    0            0     
    # relocations                0        0    0            0     
    # translocations             0        0    0            0     
    # inversions                 0        0    0            0     
# possibly misassembled contigs  2        1    1            2     
# misassembled contigs           0        0    0            0     
Misassembled contigs length      0        0    0            0     
# local misassemblies            1        0    1            1     
# structural variations          0        0    0            0     
# mismatches                     480      114  70           527   
# indels                         11       1    1            9     
    # short indels               11       1    1            9     
    # long indels                0        0    0            0     
Indels length                    12       1    1            15    
