Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# misassemblies	36	3	12	35
    # relocations	32	3	12	35
    # translocations	0	0	0	0
    # inversions	4	0	0	0
# possibly misassembled contigs	144	20	15	285
# misassembled contigs	33	3	10	28
Misassembled contigs length	72686	14824	8916	86278
# local misassemblies	48	21	1289	48
# structural variations	18	1	3	17
# mismatches	21513	1926	6747	25478
# indels	1089	77	132	1585
    # short indels	934	70	124	1236
    # long indels	155	7	8	349
Indels length	3667	218	335	6815
