Assemblies                             IDBA_UD  Ray    SOAPdenovo2  SPAdes
Akkermansia_muciniphila_ATCC_BAA-835   1.000    -      -            1.000 
Alistipes_putredinis                   1.023    1.001  1.137        1.009 
Anaerotruncus_colihominis              1.022    1.094  1.043        1.105 
Bacteroides_caccae                     1.049    1.096  1.052        1.075 
Bacteroides_capillosus                 1.027    1.093  1.078        1.065 
Bacteroides_cellulosilyticus           1.022    1.073  1.013        1.012 
Bacteroides_coprocola                  1.005    -      -            -     
Bacteroides_coprophilus                1.042    1.167  1.006        1.497 
Bacteroides_dorei                      1.021    1.086  1.043        1.095 
Bacteroides_eggerthii                  1.076    1.092  1.036        1.048 
Bacteroides_finegoldii                 1.011    1.245  1.056        1.013 
Bacteroides_fragilis_3_1_12            1.165    1.058  1.015        1.024 
Bacteroides_fragilis_NCTC_9343         1.002    2.496  1.160        1.061 
Bacteroides_fragilis_YCH46             1.002    1.017  1.012        1.007 
Bacteroides_intestinalis               1.000    1.010  1.000        1.007 
Bacteroides_ovatus                     1.014    1.044  1.131        1.027 
Bacteroides_pectinophilus              1.031    1.208  1.072        1.011 
Bacteroides_plebeius                   1.113    1.085  1.037        1.018 
Bacteroides_sp_1_1_6                   1.022    1.059  1.102        1.049 
Bacteroides_sp_2_1_7                   1.008    1.028  1.062        1.037 
Bacteroides_sp_2_2_4                   1.009    1.039  1.101        1.034 
Bacteroides_sp_3_2_5                   1.015    1.014  1.018        1.062 
Bacteroides_sp_4_3_47FAA               1.056    1.079  1.011        1.126 
Bacteroides_sp_9_1_42FAA               1.030    1.132  1.016        1.032 
Bacteroides_sp_D1                      1.011    1.019  1.131        1.025 
Bacteroides_sp_D4                      1.047    1.130  1.009        1.152 
Bacteroides_sp_XB1A                    1.011    1.050  1.130        1.016 
Bacteroides_sp__4_3_47FAA              1.044    1.061  1.007        1.098 
Bacteroides_sp__9_1_42FAA              1.024    1.147  1.003        1.092 
Bacteroides_stercoris                  1.005    1.000  1.024        1.037 
Bacteroides_thetaiotaomicron_VPI-5482  1.015    1.004  1.068        1.025 
Bacteroides_uniformis                  1.189    1.158  1.018        1.151 
Bacteroides_vulgatus_ATCC_8482         1.058    1.084  1.008        1.081 
Bifidobacterium_pseudocatenulatum      1.429    1.000  -            1.598 
Blautia_hansenii                       1.036    1.068  1.020        1.158 
Bryantella_formatexigens               1.056    1.000  1.050        1.051 
Butyrivibrio_crossotus                 1.119    1.156  1.051        1.114 
Catenibacterium_mitsuokai              1.053    1.001  1.001        1.001 
Clostridium_asparagiforme              1.006    1.060  1.054        1.000 
Clostridium_bartlettii                 1.034    1.055  1.023        1.006 
Clostridium_bolteae                    1.201    1.146  1.031        1.182 
Clostridium_leptum                     1.004    1.062  1.025        1.008 
Clostridium_methylpentosum             1.016    1.114  1.031        1.042 
Clostridium_nexile                     1.038    1.111  1.061        1.096 
Clostridium_scindens                   1.048    1.002  1.057        1.176 
Clostridium_sp_L2-50                   1.049    1.085  1.051        1.070 
Collinsella_aerofaciens                1.000    -      -            1.073 
Coprococcus_comes                      1.022    1.085  1.058        1.030 
Coprococcus_eutactus                   1.044    1.144  1.053        1.000 
Dorea_formicigenerans                  1.105    1.217  1.037        1.159 
Dorea_longicatena                      1.011    1.043  1.064        1.024 
Enterococcus_faecalis_TX0104           1.093    1.002  0.998        0.994 
Eubacterium_biforme                    1.361    1.184  1.002        1.448 
Eubacterium_hallii                     1.082    1.145  1.051        1.065 
Eubacterium_rectale_M104_1             1.091    1.130  1.053        1.048 
Eubacterium_siraeum                    1.134    1.000  1.010        1.010 
Eubacterium_ventriosum                 1.022    1.066  1.065        1.044 
Faecalibacterium_prausnitzii_SL3_3     1.109    1.085  1.095        1.099 
Holdemania_filiformis                  1.061    1.078  1.035        1.116 
Mollicutes_bacterium_D7                1.010    1.000  1.288        1.015 
Parabacteroides_distasonis_ATCC_8503   1.003    1.128  1.226        1.014 
Parabacteroides_johnsonii              1.045    1.001  1.005        1.127 
Parabacteroides_merdae                 1.003    1.020  1.005        1.001 
Prevotella_copri                       1.143    1.191  1.133        1.133 
Roseburia_intestinalis_M50_1           1.023    1.176  1.158        1.043 
Ruminococcus_bromii_L2-63              1.049    1.191  1.104        1.001 
Ruminococcus_gnavus                    1.002    1.032  1.057        1.000 
Ruminococcus_lactaris                  1.028    1.081  1.074        1.042 
Ruminococcus_obeum_A2-162              1.073    1.079  1.064        1.041 
Ruminococcus_torques_L2-14             1.021    1.109  1.098        1.033 
Subdoligranulum_variabile              1.043    1.155  1.036        1.132 
