Assemblies                             IDBA_UD  Ray    SOAPdenovo2  SPAdes
Akkermansia_muciniphila_ATCC_BAA-835   3247     -      -            1155  
Alistipes_putredinis                   80521    14202  4283         2545  
Anaerotruncus_colihominis              71408    34615  10762        39677 
Bacteroides_caccae                     67479    14202  10184        63252 
Bacteroides_capillosus                 10542    6935   3103         10781 
Bacteroides_cellulosilyticus           11176    88128  9696         118876
Bacteroides_coprocola                  854      -      -            -     
Bacteroides_coprophilus                54922    88128  19665        118876
Bacteroides_dorei                      125793   54754  9696         126159
Bacteroides_eggerthii                  179824   15047  12231        126159
Bacteroides_finegoldii                 52119    43716  3539         41203 
Bacteroides_fragilis_3_1_12            126992   68072  7255         179778
Bacteroides_fragilis_NCTC_9343         32007    24860  5521         34694 
Bacteroides_fragilis_YCH46             17131    14202  6297         33368 
Bacteroides_intestinalis               246677   68607  859          189063
Bacteroides_ovatus                     77959    16534  5467         42522 
Bacteroides_pectinophilus              34820    33075  1089         33624 
Bacteroides_plebeius                   65305    20485  9328         144537
Bacteroides_sp_1_1_6                   103500   88128  19665        118876
Bacteroides_sp_2_1_7                   57618    25646  7495         85875 
Bacteroides_sp_2_2_4                   26521    27531  7676         81030 
Bacteroides_sp_3_2_5                   123909   43716  6297         144537
Bacteroides_sp_4_3_47FAA               117419   88128  12799        162985
Bacteroides_sp_9_1_42FAA               44433    53450  9065         162985
Bacteroides_sp_D1                      146986   17196  10501        50348 
Bacteroides_sp_D4                      56613    64174  9065         162985
Bacteroides_sp_XB1A                    22495    15570  5467         25191 
Bacteroides_sp__4_3_47FAA              210768   74833  17296        179778
Bacteroides_sp__9_1_42FAA              199153   64174  10187        144537
Bacteroides_stercoris                  24854    27618  19780        35679 
Bacteroides_thetaiotaomicron_VPI-5482  84389    17196  16218        79105 
Bacteroides_uniformis                  246677   99107  26206        189063
Bacteroides_vulgatus_ATCC_8482         199153   64174  17296        144537
Bifidobacterium_pseudocatenulatum      8932     3415   -            9349  
Blautia_hansenii                       40490    18364  4775         28935 
Bryantella_formatexigens               94894    22545  1695         86580 
Butyrivibrio_crossotus                 180109   15783  8490         131559
Catenibacterium_mitsuokai              10709    7690   2354         6159  
Clostridium_asparagiforme              94894    3544   3110         32100 
Clostridium_bartlettii                 10239    2666   1936         12822 
Clostridium_bolteae                    94894    14241  6085         46093 
Clostridium_leptum                     8007     4916   2005         9516  
Clostridium_methylpentosum             215617   16529  1640         7151  
Clostridium_nexile                     135115   10965  12707        45766 
Clostridium_scindens                   13115    3687   2005         42610 
Clostridium_sp_L2-50                   182993   34615  6614         120419
Collinsella_aerofaciens                982      -      -            956   
Coprococcus_comes                      94894    42596  5582         135693
Coprococcus_eutactus                   76323    21063  1416         53795 
Dorea_formicigenerans                  182993   21544  12707        57182 
Dorea_longicatena                      80507    17800  2418         57182 
Enterococcus_faecalis_TX0104           135115   3573   2685         9625  
Eubacterium_biforme                    111563   34367  5607         85969 
Eubacterium_hallii                     94894    34367  4208         135693
Eubacterium_rectale_M104_1             94894    42596  6486         135693
Eubacterium_siraeum                    8007     3687   3441         5319  
Eubacterium_ventriosum                 119910   13588  2715         85969 
Faecalibacterium_prausnitzii_SL3_3     71408    23096  5401         47342 
Holdemania_filiformis                  71408    15783  2763         28342 
Mollicutes_bacterium_D7                135115   3996   1211         9625  
Parabacteroides_distasonis_ATCC_8503   199153   79037  6841         83103 
Parabacteroides_johnsonii              68188    60771  9696         54211 
Parabacteroides_merdae                 210768   79037  8648         92873 
Prevotella_copri                       136589   21121  7887         74266 
Roseburia_intestinalis_M50_1           146287   44072  6242         106702
Ruminococcus_bromii_L2-63              215617   12214  8799         49825 
Ruminococcus_gnavus                    83095    23096  6369         57182 
Ruminococcus_lactaris                  182993   29730  2987         156462
Ruminococcus_obeum_A2-162              93413    44072  4607         57182 
Ruminococcus_torques_L2-14             73503    27266  16010        39677 
Subdoligranulum_variabile              73506    4536   4790         45766 
