Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# misassemblies	36	45	11	43
    # relocations	13	22	7	19
    # translocations	18	22	4	24
    # inversions	5	1	0	0
# possibly misassembled contigs	92	84	72	100
# misassembled contigs	27	24	9	28
Misassembled contigs length	470099	642415	196771	628382
# local misassemblies	104	105	52	96
# structural variations	9	12	7	11
# mismatches	40924	41497	22398	42220
# indels	1601	1506	905	1667
    # short indels	1314	1243	560	1376
    # long indels	287	263	345	291
Indels length	7249	6273	8650	7131
