Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# misassemblies	30	0	8	29
    # relocations	12	0	2	18
    # translocations	15	0	5	10
    # inversions	3	0	1	1
# possibly misassembled contigs	71	1	16	179
# misassembled contigs	29	0	8	27
Misassembled contigs length	72888	0	11389	105962
# local misassemblies	9	8	1743	11
# structural variations	0	0	0	0
# mismatches	30952	689	10486	33757
# indels	1040	28	148	1392
    # short indels	889	26	133	1068
    # long indels	151	2	15	324
Indels length	3113	57	369	5606
