Assemblies                             IDBA_UD  Ray      SOAPdenovo2  SPAdes 
Akkermansia_muciniphila_ATCC_BAA-835   0        -        -            0      
Alistipes_putredinis                   243263   14202    0            0      
Anaerotruncus_colihominis              117385   100103   10762        132889 
Bacteroides_caccae                     297867   50106    10184        301618 
Bacteroides_capillosus                 10542    0        0            10781  
Bacteroides_cellulosilyticus           11176    125447   0            129655 
Bacteroides_coprocola                  0        -        -            -      
Bacteroides_coprophilus                183329   422061   47482        280212 
Bacteroides_dorei                      992986   621398   0            1559985
Bacteroides_eggerthii                  3769097  51212    86811        3369913
Bacteroides_finegoldii                 105940   93740    0            140733 
Bacteroides_fragilis_3_1_12            463734   188786   0            499035 
Bacteroides_fragilis_NCTC_9343         44461    48023    0            119313 
Bacteroides_fragilis_YCH46             31333    14202    0            44010  
Bacteroides_intestinalis               380696   68607    0            238149 
Bacteroides_ovatus                     439397   30736    0            495301 
Bacteroides_pectinophilus              45529    33075    0            33624  
Bacteroides_plebeius                   138293   51386    0            200069 
Bacteroides_sp_1_1_6                   1169695  129884   32464        1126334
Bacteroides_sp_2_1_7                   238288   58409    0            214998 
Bacteroides_sp_2_2_4                   260365   76765    0            498705 
Bacteroides_sp_3_2_5                   273476   71727    0            338108 
Bacteroides_sp_4_3_47FAA               2276905  1624684  12799        1874133
Bacteroides_sp_9_1_42FAA               451205   184422   0            601035 
Bacteroides_sp_D1                      364202   31398    10501        347299 
Bacteroides_sp_D4                      531683   134441   0            784924 
Bacteroides_sp_XB1A                    97574    29772    0            117408 
Bacteroides_sp__4_3_47FAA              2452218  642060   40723        2321693
Bacteroides_sp__9_1_42FAA              723060   478123   10187        774400 
Bacteroides_stercoris                  93417    38151    19780        49646  
Bacteroides_thetaiotaomicron_VPI-5482  872397   71876    16218        758862 
Bacteroides_uniformis                  4278420  3871981  356370       4642158
Bacteroides_vulgatus_ATCC_8482         3056608  1411000  48133        2851419
Bifidobacterium_pseudocatenulatum      0        0        -            0      
Blautia_hansenii                       40490    18364    0            28935  
Bryantella_formatexigens               213102   22545    0            151962 
Butyrivibrio_crossotus                 689506   37891    0            654408 
Catenibacterium_mitsuokai              10709    0        0            0      
Clostridium_asparagiforme              228831   0        0            32100  
Clostridium_bartlettii                 10239    0        0            25038  
Clostridium_bolteae                    234202   24644    0            142326 
Clostridium_leptum                     0        0        0            0      
Clostridium_methylpentosum             254076   16529    0            0      
Clostridium_nexile                     490807   10965    12707        185446 
Clostridium_scindens                   13115    0        0            57735  
Clostridium_sp_L2-50                   636909   46938    0            443102 
Collinsella_aerofaciens                0        -        -            0      
Coprococcus_comes                      555395   84723    0            563655 
Coprococcus_eutactus                   519982   35026    0            189922 
Dorea_formicigenerans                  789045   56753    12707        282592 
Dorea_longicatena                      193570   39970    0            161721 
Enterococcus_faecalis_TX0104           135115   0        0            0      
Eubacterium_biforme                    293689   68347    0            143151 
Eubacterium_hallii                     184195   56912    0            337077 
Eubacterium_rectale_M104_1             1110008  247678   0            916292 
Eubacterium_siraeum                    0        0        0            0      
Eubacterium_ventriosum                 420877   25645    0            347076 
Faecalibacterium_prausnitzii_SL3_3     1040379  55765    0            681962 
Holdemania_filiformis                  86909    25999    0            101777 
Mollicutes_bacterium_D7                135115   0        0            0      
Parabacteroides_distasonis_ATCC_8503   660126   284189   0            234061 
Parabacteroides_johnsonii              93042    60771    0            85288  
Parabacteroides_merdae                 471153   155859   0            184202 
Prevotella_copri                       517271   21121    0            193586 
Roseburia_intestinalis_M50_1           2014531  218743   0            1243893
Ruminococcus_bromii_L2-63              837112   12214    0            313909 
Ruminococcus_gnavus                    165868   39765    0            150470 
Ruminococcus_lactaris                  1455927  204319   0            875029 
Ruminococcus_obeum_A2-162              416549   83858    0            349639 
Ruminococcus_torques_L2-14             412985   77681    16010        221871 
Subdoligranulum_variabile              195467   0        0            142707 
