Assembly	ECOLI2	ECOLI6	ECOLI3	ECOLI7
# contigs (>= 500 bp)	483	176	581	154
# contigs (>= 1000 bp)	296	110	303	98
Total length (>= 500 bp)	4597065	4706882	4269559	4688233
Total length (>= 1000 bp)	4464805	4661664	4073179	4648990
# contigs	998	604	1219	433
Largest contig	204772	268971	179171	285232
Total length	4757489	4830505	4469433	4770377
Reference length	4639675	4639675	4639675	4639675
GC (%)	50.98	51.12	50.83	50.98
N50	69064	113742	56923	133713
L50	21	13	26	12
NG50	70347	113742	53819	133713
LG50	20	13	28	12
N75	22336	55584	13497	67867
L75	49	28	64	24
NG75	26274	59648	10305	78928
LG75	45	25	74	23
# misassemblies	36	4	68	3
# misassembled contigs	36	4	67	3
Misassembled contigs length	361440	109750	235029	105467
# unaligned contigs	272 + 34 part	455 + 9 part	282 + 66 part	304 + 2 part
Unaligned contigs length	128309	198500	122342	134970
# ambiguous contigs	9	17	19	4
Ambiguous contigs length	6068	9881	15176	2698
Genome fraction (%)	96.404	99.461	92.754	99.538
Duplication ratio	1.035	1.004	1.010	1.004
Reference GC (%)	50.79	50.79	50.79	50.79
N's (%)	0.00000	0.00000	0.00000	0.00000
# mismatches per 100 kbp	25.17	19.32	34.86	18.55
# indels per 100 kbp	2.55	2.57	4.37	1.98
# genes	3851 + 368 part	4239 + 69 part	3592 + 533 part	4248 + 53 part
# operons	745 + 125 part	840 + 41 part	677 + 180 part	848 + 33 part
NA50	64523	113741	53912	133713
LA50	22	13	27	12
NGA50	67177	113741	51013	133713
LGA50	21	13	29	12
NA75	22336	55583	13497	67867
LA75	50	28	65	24
NGA75	26274	59648	10305	78928
LGA75	46	25	75	23
