Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# misassemblies	38	23	25	35
    # relocations	31	17	21	27
    # translocations	7	6	4	8
    # inversions	0	0	0	0
# possibly misassembled contigs	23	46	39	28
# misassembled contigs	19	19	18	19
Misassembled contigs length	2081286	376775	897858	1784864
# local misassemblies	21	51	21	19
# structural variations	15	13	10	15
# mismatches	67831	56972	60064	67803
# indels	1619	1305	1573	1624
    # short indels	1559	1262	1328	1562
    # long indels	60	43	245	62
Indels length	2827	2183	6612	2881
