Assembly	Gold_Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# contigs (>= 1000 bp)	40	46	749	346	50
# contigs (>= 5000 bp)	29	34	175	193	34
# contigs (>= 10000 bp)	22	25	20	106	27
# contigs (>= 25000 bp)	20	22	0	15	25
# contigs (>= 50000 bp)	19	19	0	1	18
Total length (>= 1000 bp)	3050805	3040675	2779237	3001846	3030044
Total length (>= 5000 bp)	3025413	3013246	1302167	2579509	2994791
Total length (>= 10000 bp)	2974649	2949590	270793	1940843	2947523
Total length (>= 25000 bp)	2944333	2898386	0	538501	2919247
Total length (>= 50000 bp)	2908839	2791119	0	61821	2669127
# contigs	43	55	857	387	69
Largest contig	901072	552496	22803	61821	506133
Total length	3053013	3047484	2861002	3032419	3043661
Reference length	3055484	3055484	3055484	3055484	3055484
GC (%)	35.37	35.36	35.34	35.35	35.35
Reference GC (%)	35.37	35.37	35.37	35.37	35.37
N50	164828	164828	4677	13588	146375
NG50	164828	164828	4298	13359	146375
N75	103670	75273	2743	7472	106768
NG75	103670	75273	2461	7407	106768
L50	5	6	202	70	7
LG50	5	6	224	71	7
L75	11	12	403	145	13
LG75	11	12	460	147	13
# misassemblies	0	13	2	4	14
# misassembled contigs	0	10	2	4	9
Misassembled contigs length	0	979518	6388	14824	782785
# local misassemblies	0	3	9	1	4
# structural variations	0	0	0	0	0
# unaligned contigs	0 + 0 part	0 + 0 part	0 + 1 part	0 + 3 part	0 + 2 part
Unaligned length	0	0	84	171	714
Genome fraction (%)	99.919	99.725	91.338	99.125	99.536
Duplication ratio	1.000	1.000	1.025	1.001	1.001
# N's per 100 kbp	0.00	0.00	31.14	12.17	12.75
# mismatches per 100 kbp	0.00	3.35	1.04	23.01	32.85
# indels per 100 kbp	0.00	0.07	0.11	3.90	0.66
Largest alignment	901072	552496	22803	61821	505955
NA50	164828	125833	4674	13588	129815
NGA50	164828	125833	4298	13359	129815
NA75	103670	69524	2743	7472	74927
NGA75	103670	69524	2461	7407	74927
LA50	5	7	202	70	8
LGA50	5	7	224	71	8
LA75	11	15	404	145	15
LGA75	11	15	460	147	15
