Assemblies	IDBA_UD	Ray	SOAPdenovo2	SPAdes
Actinomyces_graevenitzii_F0530	2298.46	1770.01	1760.60	2308.74
Actinomyces_odontolyticus	3721.99	3867.84	3231.04	3657.65
Actinomyces_sp_ph3	3179.65	3223.72	2687.60	3296.51
Atopobium_parvulum	3189.58	2078.45	2300.85	3179.99
Campylobacter_concisus_13826	3986.78	3422.82	3327.43	3916.04
Campylobacter_concisus_UNSWCD	4114.39	3626.36	3525.36	3976.53
Clostridiales_bacterium_OBRC5-5	2770.56	2249.93	2192.53	2727.37
Fusobacterium_periodonticum_ATCC_33693	3475.67	3526.87	3301.73	3505.21
Fusobacterium_periodonticum_D10	2657.73	2694.90	2608.69	2697.87
Gemella_sanguinis_M325	1817.69	2269.24	1268.84	2043.14
Haemophilus_parainfluenzae_ATCC_33392	3476.13	4031.01	2512.42	3683.81
Haemophilus_parainfluenzae_HK262	3403.02	4244.69	2404.55	3738.57
Neisseria_subflava	1264.29	1270.79	1254.86	1263.91
Oribacterium_sinus_F0268	2690.70	2775.90	2366.72	2733.20
Prevotella_nanceiensis	2921.53	2778.11	2806.71	2924.08
Prevotella_pallens_ATCC_700821	1268.66	1618.62	1093.40	1348.27
Rothia_dentocariosa	2419.71	1888.02	1691.36	2394.00
Rothia_mucilaginosa_DY-18	2417.01	3077.69	2071.24	2984.57
Streptococcus_australis	3158.52	3441.51	2475.11	3062.15
Streptococcus_australis_ATCC_700641	2910.90	3050.35	2589.03	3229.09
Streptococcus_infantis_X	2742.19	3477.90	2414.90	3053.83
Streptococcus_parasanguinis_ATCC_15912	3076.88	3580.11	2592.79	3170.34
Streptococcus_salivarius_57I	2697.89	3159.97	2568.17	2805.93
Streptococcus_salivarius_K12	2145.77	2931.37	1881.27	2606.78
Veillonella_atypica_KON	1865.10	3033.51	2170.71	1846.78
Veillonella_dispar_ATCC_17748	2669.36	2858.34	1914.09	2747.13
Veillonella_sp_oral_taxon_158	2155.17	2659.19	1892.32	2319.91
