Assemblies	Gold_Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
Brevibacterium_casei	2512192	116130	0	0	123688
Brevibacterium_casei_S18	2512192	82478	0	0	39010
Burkholderia_mallei_ATCC_10399	1076386	50986	0	0	12405
Burkholderia_pseudomallei	535154	127756	0	0	453819
Chloroflexi_bacterium_SCGC_AB-629-P13	661293	669938	761610	504905	699234
Clostridium_sp_M621	798310	241774	242734	0	255712
Enterobacteriaceae_bacterium_LSJC7	4571097	3648048	0	128133	3510558
Eubacterium_sp_3_1_31	6110609	3092963	3087159	0	3083339
Formosa_sp_AK20	2974649	2949590	270793	1940843	2947523
Geobacillus_sp_JF8	3486242	3174210	0	963359	2936340
Lachnospiraceae_bacterium_2_1_46FAA	811562	1706210	0	115123	1531559
Lachnospiraceae_bacterium_3-2	1937091	108372	0	0	43445
Paenibacillus_peoriae	4717362	4732619	4772379	0	4753038
Patulibacter_americanus_DSM_16676	4453430	4412826	4692354	2455598	4359269
Patulibacter_medicamentivorans	4355207	4297273	4919274	2645816	4144952
Rhodobacter_sp_AKP1	0	17646	-	0	119842
Rhodobacter_sphaeroides	0	28393	0	0	120547
Sphingobium_yanoikuyae_ATCC_51230	0	104061	0	0	39382
Sphingopyxis_sp_MC1	0	48270	0	0	272949
Thermus_sp_CCB_US3_UF1	2263465	2169078	2189665	2085081	2169351
Weissella_koreensis_KACC_15510	0	12581	0	0	0
alpha_proteobacterium_LLX12A	4860409	555086	0	0	540268
gamma_proteobacterium_SCGC_AAA076-D02	1542954	1545257	1974224	38960	1542377
marine_gamma_proteobacterium_HTCC2080	3567651	3549830	3790502	0	3556121
