Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# contigs (>= 1000 bp)	52	14	18	44
# contigs (>= 5000 bp)	17	2	0	14
# contigs (>= 10000 bp)	11	2	0	9
# contigs (>= 25000 bp)	6	0	0	5
# contigs (>= 50000 bp)	3	0	0	3
Total length (>= 1000 bp)	551483	48054	24532	444302
Total length (>= 5000 bp)	468150	25645	0	376524
Total length (>= 10000 bp)	420877	25645	0	347076
Total length (>= 25000 bp)	340303	0	0	288655
Total length (>= 50000 bp)	234704	0	0	204041
# contigs	73	16	46	69
Largest contig	119910	13588	2715	85969
Total length	565313	49183	43196	461630
Reference length	2870795	2870795	2870795	2870795
GC (%)	39.51	39.73	40.94	41.05
Reference GC (%)	34.92	34.92	34.92	34.92
N50	36911	12057	1042	45766
N75	9629	2177	694	11893
L50	5	2	16	4
L75	12	6	28	9
# misassemblies	1	1	0	2
# misassembled contigs	1	1	0	2
Misassembled contigs length	2987	1480	0	5296
# local misassemblies	4	2	29	4
# structural variations	0	0	0	0
# unaligned contigs	0 + 41 part	0 + 6 part	0 + 8 part	0 + 39 part
Unaligned length	469802	31342	4035	378395
Genome fraction (%)	3.256	0.583	1.281	2.777
Duplication ratio	1.022	1.066	1.065	1.044
# N's per 100 kbp	80.49	2305.67	3974.91	447.54
# mismatches per 100 kbp	1732.11	1392.21	1571.89	1847.55
# indels per 100 kbp	59.91	47.80	16.32	65.22
Largest alignment	8456	3665	2715	12625
NA50	-	-	799	-
NGA50	-	-	-	-
NA75	-	-	548	-
LA50	-	-	18	-
LA75	-	-	34	-
