Assemblies	IDBA_UD	Ray	SOAPdenovo2	SPAdes
Akkermansia_muciniphila_ATCC_BAA-835	1	-	-	2
Alistipes_putredinis	32	2	19	37
Anaerotruncus_colihominis	35	29	24	22
Bacteroides_caccae	109	72	202	101
Bacteroides_capillosus	37	14	27	25
Bacteroides_cellulosilyticus	65	30	100	52
Bacteroides_coprocola	1	-	-	-
Bacteroides_coprophilus	28	30	55	23
Bacteroides_dorei	639	220	989	523
Bacteroides_eggerthii	173	1295	1928	380
Bacteroides_finegoldii	102	23	89	117
Bacteroides_fragilis_3_1_12	40	31	107	51
Bacteroides_fragilis_NCTC_9343	233	16	23	438
Bacteroides_fragilis_YCH46	201	17	53	290
Bacteroides_intestinalis	3	1	2	4
Bacteroides_ovatus	1714	70	1475	1601
Bacteroides_pectinophilus	22	13	9	15
Bacteroides_plebeius	32	19	59	18
Bacteroides_sp_1_1_6	1360	95	2552	1447
Bacteroides_sp_2_1_7	528	42	124	904
Bacteroides_sp_2_2_4	899	58	637	697
Bacteroides_sp_3_2_5	206	9	68	308
Bacteroides_sp_4_3_47FAA	272	393	2236	171
Bacteroides_sp_9_1_42FAA	541	110	480	357
Bacteroides_sp_D1	1181	36	774	938
Bacteroides_sp_D4	508	126	445	325
Bacteroides_sp_XB1A	1038	24	411	730
Bacteroides_sp__4_3_47FAA	201	252	2072	121
Bacteroides_sp__9_1_42FAA	469	109	350	293
Bacteroides_stercoris	55	12	61	106
Bacteroides_thetaiotaomicron_VPI-5482	1013	106	936	911
Bacteroides_uniformis	112	211	1510	147
Bacteroides_vulgatus_ATCC_8482	320	315	2121	226
Bifidobacterium_pseudocatenulatum	5	1	-	2
Blautia_hansenii	35	12	24	24
Bryantella_formatexigens	11	5	3	12
Butyrivibrio_crossotus	86	43	74	75
Catenibacterium_mitsuokai	4	1	1	1
Clostridium_asparagiforme	15	9	22	8
Clostridium_bartlettii	8	6	10	8
Clostridium_bolteae	46	24	32	30
Clostridium_leptum	16	8	13	12
Clostridium_methylpentosum	8	6	6	3
Clostridium_nexile	107	48	74	78
Clostridium_scindens	13	8	12	5
Clostridium_sp_L2-50	84	40	121	63
Collinsella_aerofaciens	6	-	-	10
Coprococcus_comes	325	88	164	450
Coprococcus_eutactus	51	21	21	33
Dorea_formicigenerans	126	62	78	101
Dorea_longicatena	108	25	60	150
Enterococcus_faecalis_TX0104	6	5	3	3
Eubacterium_biforme	22	11	31	13
Eubacterium_hallii	116	30	59	166
Eubacterium_rectale_M104_1	220	89	126	255
Eubacterium_siraeum	9	6	12	7
Eubacterium_ventriosum	73	16	46	69
Faecalibacterium_prausnitzii_SL3_3	527	259	731	537
Holdemania_filiformis	42	20	18	25
Mollicutes_bacterium_D7	9	1	4	13
Parabacteroides_distasonis_ATCC_8503	499	15	27	691
Parabacteroides_johnsonii	9	5	38	10
Parabacteroides_merdae	19	17	34	15
Prevotella_copri	14	12	8	8
Roseburia_intestinalis_M50_1	1650	104	1005	1508
Ruminococcus_bromii_L2-63	59	34	37	40
Ruminococcus_gnavus	28	16	24	24
Ruminococcus_lactaris	102	22	37	133
Ruminococcus_obeum_A2-162	154	60	96	188
Ruminococcus_torques_L2-14	378	48	167	530
Subdoligranulum_variabile	49	18	14	37
