Assemblies                             Gold Assembly  IDBA_UD  Ray  SOAPdenovo2  SPAdes
Brevibacterium_casei                   15743        2387         657          984          2329       
Brevibacterium_casei_S18               15743        2433         658          984          2275       
Burkholderia_mallei_ATCC_10399         5945         1278         604          761          1203       
Burkholderia_pseudomallei              5313         1306         599          761          1345       
Chloroflexi_bacterium_SCGC_AB-629-P13  36580        28824        36864        15225        31363      
Clostridium_sp_M621                    241990       241774       242734       776          235338     
Enterobacteriaceae_bacterium_LSJC7     165311       19216        968          3137         16687      
Eubacterium_sp_3_1_31                  322981       174114       151837       816          220876     
Formosa_sp_AK20                        164828       164828       4677         13588        146375     
Geobacillus_sp_JF8                     2780101      53507        1564         6453         35251      
Lachnospiraceae_bacterium_2_1_46FAA    5646         16681        994          3641         16681      
Lachnospiraceae_bacterium_3-2          8816         2360         638          943          2122       
Paenibacillus_peoriae                  43347        42148        43017        1284         43018      
Patulibacter_americanus_DSM_16676      279499       275977       239755       11173        104980     
Patulibacter_medicamentivorans         24674        23511        27533        10720        20296      
Rhodobacter_sp_AKP1                    870          773          -            579          833        
Rhodobacter_sphaeroides                861          753          564          570          850        
Sphingobium_yanoikuyae_ATCC_51230      3797         4331         717          1155         3806       
Sphingopyxis_sp_MC1                    1018         914          519          564          977        
Thermus_sp_CCB_US3_UF1                 2243761      140699       203675       53016        150321     
Weissella_koreensis_KACC_15510         2237         1023         583          669          946        
alpha_proteobacterium_LLX12A           24106        4554         733          1465         4019       
gamma_proteobacterium_SCGC_AAA076-D02  63907        70462        99633        2829         80163      
marine_gamma_proteobacterium_HTCC2080  274230       230838       198137       584          262399     
not_aligned                            5203         9679         9920         2860         9182       
