Assembly	Gold_Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# misassemblies	0	4	0	3	7
    # relocations	0	4	0	3	7
    # translocations	0	0	0	0	0
    # inversions	0	0	0	0	0
# possibly misassembled contigs	1	4	0	0	5
# misassembled contigs	0	3	0	3	7
Misassembled contigs length	0	26795	0	22930	120057
# local misassemblies	0	1	33	1	8
# structural variations	0	0	0	0	0
# mismatches	0	347	143	1925	2506
# indels	0	14	5	343	36
    # short indels	0	9	5	149	34
    # long indels	0	5	0	194	2
Indels length	0	116	10	2717	106
