Assemblies	IDBA_UD	Ray	SOAPdenovo2	SPAdes
Akkermansia_muciniphila_ATCC_BAA-835	-	-	-	-
Alistipes_putredinis	-	-	-	-
Anaerotruncus_colihominis	-	-	-	-
Bacteroides_caccae	-	-	-	-
Bacteroides_capillosus	-	-	-	-
Bacteroides_cellulosilyticus	-	-	-	-
Bacteroides_coprocola	-	-	-	-
Bacteroides_coprophilus	-	-	-	-
Bacteroides_dorei	-	-	-	-
Bacteroides_eggerthii	20660	-	715	7591
Bacteroides_finegoldii	-	-	-	-
Bacteroides_fragilis_3_1_12	-	-	-	-
Bacteroides_fragilis_NCTC_9343	-	-	-	-
Bacteroides_fragilis_YCH46	-	-	-	-
Bacteroides_intestinalis	-	-	-	-
Bacteroides_ovatus	-	-	-	-
Bacteroides_pectinophilus	1793	-	-	667
Bacteroides_plebeius	-	-	-	-
Bacteroides_sp_1_1_6	1331	-	-	752
Bacteroides_sp_2_1_7	-	-	-	-
Bacteroides_sp_2_2_4	-	-	-	-
Bacteroides_sp_3_2_5	-	-	-	-
Bacteroides_sp_4_3_47FAA	-	-	595	-
Bacteroides_sp_9_1_42FAA	-	-	-	-
Bacteroides_sp_D1	-	-	-	-
Bacteroides_sp_D4	-	-	-	-
Bacteroides_sp_XB1A	-	-	-	-
Bacteroides_sp__4_3_47FAA	-	-	535	-
Bacteroides_sp__9_1_42FAA	-	-	-	-
Bacteroides_stercoris	-	-	-	-
Bacteroides_thetaiotaomicron_VPI-5482	-	-	-	-
Bacteroides_uniformis	26880	12965	868	22673
Bacteroides_vulgatus_ATCC_8482	1932	-	613	-
Bifidobacterium_pseudocatenulatum	-	-	-	-
Blautia_hansenii	-	-	-	-
Bryantella_formatexigens	-	-	-	-
Butyrivibrio_crossotus	-	-	-	-
Catenibacterium_mitsuokai	-	-	-	-
Clostridium_asparagiforme	-	-	-	-
Clostridium_bartlettii	-	-	-	-
Clostridium_bolteae	-	-	-	-
Clostridium_leptum	-	-	-	-
Clostridium_methylpentosum	-	-	-	-
Clostridium_nexile	-	-	-	-
Clostridium_scindens	-	-	-	-
Clostridium_sp_L2-50	-	-	-	-
Collinsella_aerofaciens	-	-	-	-
Coprococcus_comes	-	-	-	-
Coprococcus_eutactus	-	-	-	-
Dorea_formicigenerans	-	-	-	-
Dorea_longicatena	-	-	-	-
Enterococcus_faecalis_TX0104	-	-	-	-
Eubacterium_biforme	-	-	-	-
Eubacterium_hallii	-	-	-	-
Eubacterium_rectale_M104_1	-	-	-	-
Eubacterium_siraeum	-	-	-	-
Eubacterium_ventriosum	-	-	-	-
Faecalibacterium_prausnitzii_SL3_3	-	-	-	-
Holdemania_filiformis	-	-	-	-
Mollicutes_bacterium_D7	-	-	-	-
Parabacteroides_distasonis_ATCC_8503	-	-	-	-
Parabacteroides_johnsonii	-	-	-	-
Parabacteroides_merdae	-	-	-	-
Prevotella_copri	-	-	-	-
Roseburia_intestinalis_M50_1	-	-	-	-
Ruminococcus_bromii_L2-63	-	-	-	-
Ruminococcus_gnavus	-	-	-	-
Ruminococcus_lactaris	-	-	-	-
Ruminococcus_obeum_A2-162	-	-	-	-
Ruminococcus_torques_L2-14	-	-	-	-
Subdoligranulum_variabile	-	-	-	-
