Assemblies	IDBA_UD	Ray	SOAPdenovo2	SPAdes
Actinomyces_graevenitzii_F0530	1922	536	683	1984
Actinomyces_odontolyticus	1332	1903	1883	1022
Actinomyces_sp_ph3	2145	2156	1455	1891
Atopobium_parvulum	918	516	350	928
Campylobacter_concisus_13826	1834	1716	1275	1686
Campylobacter_concisus_UNSWCD	1156	1188	889	1056
Clostridiales_bacterium_OBRC5-5	2473	696	1286	2370
Fusobacterium_periodonticum_ATCC_33693	1988	2407	1303	2070
Fusobacterium_periodonticum_D10	2355	2426	2213	2387
Gemella_sanguinis_M325	2635	2665	1862	2018
Haemophilus_parainfluenzae_ATCC_33392	2084	2384	546	1590
Haemophilus_parainfluenzae_HK262	1321	1667	410	921
Neisseria_subflava	2214	2208	2161	2164
Oribacterium_sinus_F0268	2547	2383	2744	2551
Prevotella_nanceiensis	2562	2047	2270	2558
Prevotella_pallens_ATCC_700821	1618	425	666	1654
Rothia_dentocariosa	1355	760	44	1242
Rothia_mucilaginosa_DY-18	2472	2083	1458	1793
Streptococcus_australis	886	2440	524	935
Streptococcus_australis_ATCC_700641	2382	1437	1280	1998
Streptococcus_infantis_X	2833	4476	1024	3187
Streptococcus_parasanguinis_ATCC_15912	3241	3800	1836	2435
Streptococcus_salivarius_57I	2288	2886	1575	1734
Streptococcus_salivarius_K12	2630	2967	1728	2342
Veillonella_atypica_KON	938	345	192	851
Veillonella_dispar_ATCC_17748	1868	1691	1304	1064
Veillonella_sp_oral_taxon_158	2772	3667	1986	2252
