Assembly	IDBA_UD	SPAdes
# contigs (>= 1000 bp)	1	1
# contigs (>= 5000 bp)	0	0
# contigs (>= 10000 bp)	0	0
# contigs (>= 25000 bp)	0	0
# contigs (>= 50000 bp)	0	0
Total length (>= 1000 bp)	3247	1155
Total length (>= 5000 bp)	0	0
Total length (>= 10000 bp)	0	0
Total length (>= 25000 bp)	0	0
Total length (>= 50000 bp)	0	0
# contigs	1	2
Largest contig	3247	1155
Total length	3247	1730
Reference length	2664102	2664102
GC (%)	52.91	50.16
Reference GC (%)	55.76	55.76
N50	3247	1155
N75	3247	575
L50	1	1
L75	1	2
# misassemblies	0	0
# misassembled contigs	0	0
Misassembled contigs length	0	0
# local misassemblies	0	0
# structural variations	0	0
# unaligned contigs	0 + 1 part	0 + 2 part
Unaligned length	3164	1428
Genome fraction (%)	0.003	0.011
Duplication ratio	1.000	1.000
# N's per 100 kbp	0.00	9075.14
# mismatches per 100 kbp	4819.28	2649.01
# indels per 100 kbp	0.00	0.00
Largest alignment	83	228
NGA50	-	-
