Assemblies                              IDBA_UD  Ray      SOAPdenovo2  SPAdes 
Actinomyces_graevenitzii_F0530          0.00     648.63   3979.01      0.00   
Actinomyces_odontolyticus               0.00     2521.71  6422.39      182.62 
Actinomyces_sp_ph3                      0.00     1826.25  4792.08      464.56 
Atopobium_parvulum                      0.00     220.73   3132.17      13.29  
Campylobacter_concisus_13826            0.00     1665.97  1728.59      42.23  
Campylobacter_concisus_UNSWCD           0.00     1166.15  1688.00      12.92  
Clostridiales_bacterium_OBRC5-5         0.00     0.00     1897.23      13.78  
Fusobacterium_periodonticum_ATCC_33693  0.00     107.25   982.54       126.21 
Fusobacterium_periodonticum_D10         0.00     111.85   919.74       140.15 
Gemella_sanguinis_M325                  0.51     289.62   2573.17      559.57 
Haemophilus_parainfluenzae_ATCC_33392   0.00     290.88   1616.35      1803.05
Haemophilus_parainfluenzae_HK262        1.51     206.07   1317.62      1521.93
Neisseria_subflava                      0.00     128.09   136.20       42.52  
Oribacterium_sinus_F0268                0.00     355.38   1813.19      54.19  
Prevotella_nanceiensis                  0.00     422.28   476.29       1.92   
Prevotella_pallens_ATCC_700821          0.00     761.76   961.87       14.81  
Rothia_dentocariosa                     0.00     301.59   3271.64      21.81  
Rothia_mucilaginosa_DY-18               0.00     270.21   1799.47      411.90 
Streptococcus_australis                 0.00     231.09   1213.68      151.29 
Streptococcus_australis_ATCC_700641     0.17     743.73   4285.31      78.83  
Streptococcus_infantis_X                0.99     454.36   9563.57      61.63  
Streptococcus_parasanguinis_ATCC_15912  0.59     687.78   9151.39      501.58 
Streptococcus_salivarius_57I            0.00     395.00   2964.90      719.01 
Streptococcus_salivarius_K12            0.63     421.59   3089.56      419.39 
Veillonella_atypica_KON                 0.00     661.57   8281.73      0.00   
Veillonella_dispar_ATCC_17748           0.00     849.70   6388.58      267.87 
Veillonella_sp_oral_taxon_158           0.78     443.12   4052.55      227.69 
