Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# misassemblies	35	45	1	24
    # relocations	35	45	1	24
    # translocations	0	0	0	0
    # inversions	0	0	0	0
# possibly misassembled contigs	81	166	44	85
# misassembled contigs	33	34	1	23
Misassembled contigs length	43553	297020	1032	75643
# local misassemblies	41	51	32	23
# structural variations	11	5	2	8
# mismatches	33542	31501	7419	34419
# indels	619	578	160	602
    # short indels	558	556	123	570
    # long indels	61	22	37	32
Indels length	2230	1048	1412	1403
