Assemblies	IDBA_UD	Ray	SOAPdenovo2	SPAdes
Actinomyces_graevenitzii_F0530	13283	24057	28790	15831
Actinomyces_odontolyticus	23191	431523	20974	22957
Actinomyces_sp_ph3	33515	69202	37314	108978
Atopobium_parvulum	13857	431523	2845	12284
Campylobacter_concisus_13826	95558	26575	38379	92179
Campylobacter_concisus_UNSWCD	95558	26575	30789	92179
Clostridiales_bacterium_OBRC5-5	22168	37555	169569	45693
Fusobacterium_periodonticum_ATCC_33693	128273	128291	162453	128587
Fusobacterium_periodonticum_D10	128273	128291	162453	128587
Gemella_sanguinis_M325	79696	118495	55395	163268
Haemophilus_parainfluenzae_ATCC_33392	15597	127463	6744	87691
Haemophilus_parainfluenzae_HK262	77531	127463	6744	85767
Neisseria_subflava	442644	442828	509581	386771
Oribacterium_sinus_F0268	118154	104842	181817	83957
Prevotella_nanceiensis	509970	67804	139242	335888
Prevotella_pallens_ATCC_700821	151531	125177	128598	128675
Rothia_dentocariosa	27573	431523	2760	71020
Rothia_mucilaginosa_DY-18	27493	431523	9794	108978
Streptococcus_australis	28239	209717	6577	18832
Streptococcus_australis_ATCC_700641	39739	104842	38203	44309
Streptococcus_infantis_X	28239	209717	20126	23001
Streptococcus_parasanguinis_ATCC_15912	19022	156859	13112	20844
Streptococcus_salivarius_57I	33954	102776	17473	48732
Streptococcus_salivarius_K12	40343	125129	14322	193324
Veillonella_atypica_KON	15362	31461	7279	11384
Veillonella_dispar_ATCC_17748	357694	93136	39722	31690
Veillonella_sp_oral_taxon_158	38590	133326	39722	43808
