Assemblies	Gold_Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
Brevibacterium_casei	3507	4242	1472	4138	4433
Brevibacterium_casei_S18	3507	4204	1474	4157	4546
Burkholderia_mallei_ATCC_10399	5617	6400	814	3731	6913
Burkholderia_pseudomallei	3732	4777	681	3128	5399
Chloroflexi_bacterium_SCGC_AB-629-P13	846	843	834	856	837
Clostridium_sp_M621	1831	570	244	39	623
Enterobacteriaceae_bacterium_LSJC7	4221	4511	5350	5803	4669
Eubacterium_sp_3_1_31	3046	2884	2901	2299	2858
Formosa_sp_AK20	2765	2772	3190	3010	2788
Geobacillus_sp_JF8	3452	3488	4511	3997	3503
Lachnospiraceae_bacterium_2_1_46FAA	3719	2171	2546	2722	2217
Lachnospiraceae_bacterium_3-2	4653	5503	1056	4643	5710
Paenibacillus_peoriae	4570	4602	4596	3711	4596
Patulibacter_americanus_DSM_16676	4103	4101	4114	4589	4161
Patulibacter_medicamentivorans	4756	4819	5236	5179	4980
Rhodobacter_sp_AKP1	2768	778	-	35	1069
Rhodobacter_sphaeroides	3494	759	1	38	1149
Sphingobium_yanoikuyae_ATCC_51230	54	837	178	231	855
Sphingopyxis_sp_MC1	4041	1595	6	111	2230
Thermus_sp_CCB_US3_UF1	2120	2126	2138	2117	2093
Weissella_koreensis_KACC_15510	1693	1552	48	550	1627
alpha_proteobacterium_LLX12A	6010	6605	4525	8295	6947
gamma_proteobacterium_SCGC_AAA076-D02	1619	1621	1592	1333	1633
marine_gamma_proteobacterium_HTCC2080	3045	3044	3057	531	3043
