Assemblies	Gold_Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
Brevibacterium_casei	0.00	116.34	0.68	232.01	406.80
Brevibacterium_casei_S18	0.00	117.14	0.67	232.52	409.15
Burkholderia_mallei_ATCC_10399	20.36	223.13	18.05	311.92	622.66
Burkholderia_pseudomallei	365.07	531.54	305.92	613.95	944.64
Chloroflexi_bacterium_SCGC_AB-629-P13	0.00	0.72	0.00	2.52	6.71
Clostridium_sp_M621	629.13	1179.03	1935.78	1467.99	1672.96
Enterobacteriaceae_bacterium_LSJC7	0.00	25.00	2.04	102.66	125.75
Eubacterium_sp_3_1_31	1329.15	1296.55	1302.90	1125.64	1307.62
Formosa_sp_AK20	0.00	3.35	1.04	23.01	32.85
Geobacillus_sp_JF8	0.00	10.39	5.13	58.84	75.37
Lachnospiraceae_bacterium_2_1_46FAA	0.09	32.50	2.04	85.19	101.89
Lachnospiraceae_bacterium_3-2	0.00	161.76	2.14	224.98	433.18
Paenibacillus_peoriae	3667.80	3669.19	3666.72	3323.46	3667.86
Patulibacter_americanus_DSM_16676	0.00	0.20	0.13	11.23	20.53
Patulibacter_medicamentivorans	0.00	3.56	0.16	18.03	46.55
Rhodobacter_sp_AKP1	1771.03	2034.81	-	1922.95	2696.49
Rhodobacter_sphaeroides	1553.97	1868.66	0.00	1499.57	2533.85
Sphingobium_yanoikuyae_ATCC_51230	164.90	2832.26	497.00	748.96	2805.08
Sphingopyxis_sp_MC1	0.00	454.21	0.00	475.68	1122.39
Thermus_sp_CCB_US3_UF1	0.00	0.36	0.23	0.82	2.26
Weissella_koreensis_KACC_15510	0.00	285.70	0.00	331.35	766.44
alpha_proteobacterium_LLX12A	0.00	102.61	1.38	178.35	292.42
gamma_proteobacterium_SCGC_AAA076-D02	2751.86	2755.30	2803.13	2198.42	2758.02
marine_gamma_proteobacterium_HTCC2080	0.00	2.02	0.03	76.01	1.79
