Assemblies	IDBA_UD	Ray	SOAPdenovo2	SPAdes
Akkermansia_muciniphila_ATCC_BAA-835	-	-	-	1155
Alistipes_putredinis	34804	14202	1198	1371
Anaerotruncus_colihominis	17341	10341	7126	27250
Bacteroides_caccae	21039	5593	1537	25598
Bacteroides_capillosus	4095	1919	1028	5029
Bacteroides_cellulosilyticus	2830	88128	1734	118876
Bacteroides_coprocola	67479	23337	2034	34125
Bacteroides_coprophilus	33404	43716	4498	60070
Bacteroides_dorei	7634	11378	1365	14692
Bacteroides_eggerthii	51456	1565	1785	23089
Bacteroides_finegoldii	4835	19388	860	7087
Bacteroides_fragilis_3_1_12	65305	36527	1831	116588
Bacteroides_intestinalis	246677	68607	859	189063
Bacteroides_ovatus	2396	2392	787	2902
Bacteroides_pectinophilus	31623	10590	1194	33624
Bacteroides_plebeius	27741	19388	1471	144537
Bacteroides_sp_2_1_7	1422	8277	1067	1193
Bacteroides_sp_2_2_4	2404	13172	878	4309
Bacteroides_sp_D1	2574	5447	791	3491
Bacteroides_sp_D4	9823	17229	1482	28031
Bacteroides_sp__4_3_47FAA	31870	14514	1661	46176
Bacteroides_sp__9_1_42FAA	10843	33951	1680	29598
Bacteroides_stercoris	22422	27618	2318	8631
Bacteroides_thetaiotaomicron_VPI-5482	5410	6040	898	5559
Bacteroides_uniformis	92168	37090	3089	57278
Bacteroides_vulgatus_ATCC_8482	33404	14365	1622	43754
Bifidobacterium_pseudocatenulatum	8932	3415	-	9349
Blautia_hansenii	8007	6529	1308	5683
Bryantella_formatexigens	71660	22545	1695	65382
Butyrivibrio_crossotus	80507	5307	1749	60890
Catenibacterium_mitsuokai	10709	7690	2354	6159
Clostridium_asparagiforme	69359	2895	1032	32100
Clostridium_bartlettii	6283	1560	1224	12216
Clostridium_bolteae	43793	4454	3106	18482
Clostridium_leptum	1855	1919	1133	2462
Clostridium_methylpentosum	215617	16529	1219	7151
Clostridium_nexile	41370	3541	1577	12830
Clostridium_scindens	8549	34615	1061	42610
Clostridium_sp_L2-50	77126	6563	1052	26166
Collinsella_aerofaciens	869	-	-	597
Coprococcus_comes	27793	3004	1159	9347
Coprococcus_eutactus	57095	9939	1080	30774
Dorea_formicigenerans	71408	4628	1546	14803
Dorea_longicatena	20033	6573	1111	12405
Enterococcus_faecalis_TX0104	135115	9530	6085	9625
Eubacterium_biforme	72102	21544	1940	85969
Eubacterium_hallii	9438	22545	986	13996
Eubacterium_rectale_M104_1	32853	13588	1204	26851
Eubacterium_siraeum	4081	3687	2005	4859
Eubacterium_ventriosum	50587	10216	1050	21252
Faecalibacterium_prausnitzii_SL3_3	12442	4028	1469	7383
Holdemania_filiformis	15501	4242	848	18482
Mollicutes_bacterium_D7	135115	3996	884	2535
Parabacteroides_distasonis_ATCC_8503	56705	48365	844	1126
Parabacteroides_johnsonii	68188	60771	2869	23701
Parabacteroides_merdae	199153	66472	3524	43754
Prevotella_copri	80521	8025	4868	45577
Roseburia_intestinalis_M50_1	4231	5917	767	4044
Ruminococcus_bromii_L2-63	125915	3851	1240	15125
Ruminococcus_gnavus	71408	16669	2005	21719
Ruminococcus_lactaris	81029	21542	1159	59871
Ruminococcus_obeum_A2-162	15997	7690	1102	10802
Ruminococcus_torques_L2-14	4330	10210	968	1926
Subdoligranulum_variabile	28442	2103	1614	16286
not_aligned	3035	4721	1692	2984
