Assemblies	IDBA_UD	Ray	SOAPdenovo2	SPAdes
Actinomyces_graevenitzii_F0530	67193	46712	28790	62176
Actinomyces_odontolyticus	145101	843217	218930	142151
Actinomyces_sp_ph3	402309	612298	276251	638442
Atopobium_parvulum	37527	431523	0	23391
Campylobacter_concisus_13826	1636246	148038	470191	1143619
Campylobacter_concisus_UNSWCD	1030530	57877	321646	764654
Clostridiales_bacterium_OBRC5-5	180425	119631	234879	185185
Fusobacterium_periodonticum_ATCC_33693	1656049	2251815	906101	1868303
Fusobacterium_periodonticum_D10	1841935	2250672	1391214	2042696
Gemella_sanguinis_M325	760484	1975707	102395	1281413
Haemophilus_parainfluenzae_ATCC_33392	62628	2016729	0	613342
Haemophilus_parainfluenzae_HK262	104709	1386283	0	344171
Neisseria_subflava	2164465	2433390	2139811	2203680
Oribacterium_sinus_F0268	2177113	2378564	2314204	2235094
Prevotella_nanceiensis	3173496	1339801	2186344	3200082
Prevotella_pallens_ATCC_700821	1194293	437117	525708	926990
Rothia_dentocariosa	76327	991285	0	163024
Rothia_mucilaginosa_DY-18	807589	2291677	0	1656119
Streptococcus_australis	138779	2099047	0	120780
Streptococcus_australis_ATCC_700641	338971	610533	64160	404450
Streptococcus_infantis_X	144134	3247125	20126	99447
Streptococcus_parasanguinis_ATCC_15912	90695	2347941	26130	172626
Streptococcus_salivarius_57I	116462	1975505	28688	395906
Streptococcus_salivarius_K12	217404	1873635	50668	718468
Veillonella_atypica_KON	26903	177064	0	11384
Veillonella_dispar_ATCC_17748	510194	949577	78922	100276
Veillonella_sp_oral_taxon_158	233112	2720379	117995	340859
