Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# misassemblies	31	63	2	39
    # relocations	13	39	2	35
    # translocations	18	24	0	4
    # inversions	0	0	0	0
# possibly misassembled contigs	55	51	36	50
# misassembled contigs	28	43	2	30
Misassembled contigs length	153846	913838	2689	649316
# local misassemblies	49	62	33	35
# structural variations	15	26	5	14
# mismatches	26239	35680	10133	31216
# indels	995	1204	346	988
    # short indels	805	1115	284	917
    # long indels	190	89	62	71
Indels length	6138	2541	2198	3075
