Assemblies                             IDBA_UD  Ray      SOAPdenovo2  SPAdes 
Akkermansia_muciniphila_ATCC_BAA-835   0        -        -            0      
Alistipes_putredinis                   0        0        0            0      
Anaerotruncus_colihominis              0        0        0            0      
Bacteroides_caccae                     44229    4199     10184        73370  
Bacteroides_capillosus                 0        0        0            10781  
Bacteroides_cellulosilyticus           0        15847    0            0      
Bacteroides_coprocola                  0        -        -            -      
Bacteroides_coprophilus                8107     148285   2018         126074 
Bacteroides_dorei                      117364   151605   14017        454680 
Bacteroides_eggerthii                  1788741  28132    64687        738668 
Bacteroides_finegoldii                 1762     0        0            0      
Bacteroides_fragilis_3_1_12            65305    0        2299         0      
Bacteroides_fragilis_NCTC_9343         0        0        0            0      
Bacteroides_fragilis_YCH46             0        0        0            3319   
Bacteroides_intestinalis               0        0        0            0      
Bacteroides_ovatus                     72888    0        11389        105962 
Bacteroides_pectinophilus              0        1168     0            0      
Bacteroides_plebeius                   24894    11513    0            0      
Bacteroides_sp_1_1_6                   201859   90348    22731        402495 
Bacteroides_sp_2_1_7                   22587    0        0            14936  
Bacteroides_sp_2_2_4                   19610    0        2913         36406  
Bacteroides_sp_3_2_5                   37538    0        0            51405  
Bacteroides_sp_4_3_47FAA               449034   441176   11169        1020099
Bacteroides_sp_9_1_42FAA               92801    90178    0            189136 
Bacteroides_sp_D1                      64886    1560     4830         74662  
Bacteroides_sp_D4                      225552   88518    0            533591 
Bacteroides_sp_XB1A                    25139    0        5724         22023  
Bacteroides_sp__4_3_47FAA              739106   224359   44802        1102777
Bacteroides_sp__9_1_42FAA              157402   231469   0            430056 
Bacteroides_stercoris                  663      0        0            0      
Bacteroides_thetaiotaomicron_VPI-5482  100972   0        12662        114082 
Bacteroides_uniformis                  2773515  1439079  66749        1869799
Bacteroides_vulgatus_ATCC_8482         1232196  539583   24446        1405008
Bifidobacterium_pseudocatenulatum      0        0        -            0      
Blautia_hansenii                       0        18364    804          28935  
Bryantella_formatexigens               0        0        0            0      
Butyrivibrio_crossotus                 28837    15783    0            20689  
Catenibacterium_mitsuokai              0        0        0            0      
Clostridium_asparagiforme              0        0        0            0      
Clostridium_bartlettii                 2168     0        0            1018   
Clostridium_bolteae                    47514    10403    0            34040  
Clostridium_leptum                     0        0        0            0      
Clostridium_methylpentosum             0        0        0            0      
Clostridium_nexile                     1949     5041     1474         22213  
Clostridium_scindens                   0        0        0            0      
Clostridium_sp_L2-50                   7017     0        1165         0      
Collinsella_aerofaciens                0        -        -            0      
Coprococcus_comes                      72260    4740     8991         59065  
Coprococcus_eutactus                   664      0        0            0      
Dorea_formicigenerans                  16640    14651    1583         8744   
Dorea_longicatena                      2267     0        2259         6538   
Enterococcus_faecalis_TX0104           0        0        0            0      
Eubacterium_biforme                    50587    34367    1570         57182  
Eubacterium_hallii                     10918    1756     2021         7315   
Eubacterium_rectale_M104_1             37824    5076     9945         16246  
Eubacterium_siraeum                    0        0        0            0      
Eubacterium_ventriosum                 2987     1480     0            5296   
Faecalibacterium_prausnitzii_SL3_3     286221   28312    5028         239154 
Holdemania_filiformis                  10050    2877     0            13575  
Mollicutes_bacterium_D7                0        0        0            0      
Parabacteroides_distasonis_ATCC_8503   748      0        0            2675   
Parabacteroides_johnsonii              0        0        0            0      
Parabacteroides_merdae                 0        0        0            0      
Prevotella_copri                       0        0        0            0      
Roseburia_intestinalis_M50_1           72686    14824    8916         86278  
Ruminococcus_bromii_L2-63              1571     12214    3919         0      
Ruminococcus_gnavus                    0        0        0            0      
Ruminococcus_lactaris                  1050     0        2120         5863   
Ruminococcus_obeum_A2-162              10559    0        1029         640    
Ruminococcus_torques_L2-14             10871    5309     2774         3170   
Subdoligranulum_variabile              4341     0        0            13546  
