ID or #		Start	End	Type
=========================================
1		4263805	4264884	complete
2		795085	795774	complete
3		2529485	2530246	complete
4		3810754	3811974	complete
5		2260387	2261517	complete
6		4345427	4346767	complete
7		2422539	2423255	complete
8		4199949	4201346	complete
9		5683	6459	complete
10		926697	928418	complete
11		1938337	1939659	complete
12		2585617	2588730	complete
13		2639853	2640866	complete
14		3270809	3271579	complete
15		3331732	3332703	complete
16		3399414	3401354	complete
17		4102995	4103693	complete
18		4585932	4586888	complete
19		4215132	4216436	complete
20		4213501	4215102	complete
21		123017	125680	complete
22		125695	127587	complete
23		4216619	4218355	complete
24		2411492	2412694	complete
25		949563	950303	complete
26		2307363	2308427	complete
27		1700257	1701258	complete
28		1294669	1297344	complete
29		496399	497043	complete
30		1064808	1066049	complete
31		2817403	2820033	complete
32		1486256	1487695	complete
33		1360767	1362254	complete
34		2306713	2307363	complete
35		2053085	2054539	complete
36		4375834	4376967	complete
37		118733	119284	complete
38		119281	120135	complete
39		4434778	4435518	complete
40		1819942	1820280	complete
41		1848884	1849900	complete
42		3097704	3098750	complete
43		51229	51606	complete
44		50380	51222	complete
45		1039840	1041138	complete
46		582904	583653	complete
47		490636	491187	complete
48		66835	68337	complete
49		68348	70048	complete
50		70387	71265	complete
51		65855	66550	complete
52		2978786	2980204	complete
53		1983163	1984152	complete
54		1981579	1983093	complete
55		1980578	1981564	complete
56		410521	411705	complete
57		4637613	4638329	complete
58		3348711	3351047	complete
59		2947264	2948595	complete
60		4154036	4154812	complete
61		4153024	4154028	complete
62		3486982	3488202	complete
63		288525	289529	complete
64		3316659	3318002	complete
65		4475330	4476334	complete
66		3382725	3383195	complete
67		1958086	1959819	complete
68		2425031	2425813	complete
69		958035	959318	complete
70		3515420	3516508	complete
71		2444410	2445495	complete
72		1772710	1773468	complete
73		3428042	3428860	complete
74		2738102	2739172	complete
75		784856	785908	complete
76		1786459	1787505	complete
77		3516565	3517086	complete
78		405629	406153	complete
79		406652	407329	complete
80		120178	121551	complete
81		2839012	2840436	complete
82		2837546	2839003	complete
83		2836276	2837289	complete
84		3571798	3572901	complete
85		3982375	3984030	complete
86		3980981	3982216	complete
87		3925178	3926170	complete
88		696736	698400	complete
89		3924568	3925026	complete
90		986808	988208	complete
91		4364914	4366350	complete
92		983742	984932	complete
93		1946774	1948546	complete
94		3916339	3917880	complete
95		3919259	3920074	complete
96		3913576	3913995	complete
97		3914016	3915398	complete
98		3918973	3919212	complete
99		3918441	3918911	complete
100		3915425	3916288	complete
101		3917893	3918426	complete
102		3920083	3920463	complete
103		3737728	3738981	complete
104		2598500	2598970	complete
105		324801	326471	complete
106		326485	327957	complete
107		327971	328558	complete
108		328687	330720	complete
109		3464271	3464747	complete
110		3900312	3901724	complete
111		3901743	3903620	complete
112		3903754	3904590	complete
113		807191	808480	complete
114		808567	809607	complete
115		810745	811500	complete
116		811493	812170	complete
117		809604	810758	complete
118		3542096	3542866	complete
119		4171105	4172070	complete
120		3712084	3714417	complete
121		453696	454013	complete
122		4161662	4163506	complete
123		1792196	1793176	complete
124		1790833	1791582	complete
125		1791582	1792133	complete
126		1325791	1326381	complete
127		4354493	4356640	complete
128		4356720	4358054	complete
129		4358419	4359957	complete
130		29651	30799	complete
131		30817	34038	complete
132		3199913	3201151	complete
133		2229866	2230750	complete
134		4107953	4108708	complete
135		195677	196534	complete
136		1819323	1819643	complete
137		1817880	1819238	complete
138		1817479	1817829	complete
139		1816629	1817471	complete
140		1815172	1816524	complete
141		4636201	4637553	complete
142		1971384	1973348	complete
143		1965476	1966525	complete
144		1966528	1967388	complete
145		1970860	1971363	complete
146		1965072	1965461	complete
147		1964417	1965061	complete
148		795777	796835	complete
149		864352	865587	complete
150		863603	864352	complete
151		2242800	2244791	complete
152		922487	924763	complete
153		2729622	2732195	complete
154		455901	456524	complete
155		456650	457924	complete
156		4432645	4434588	complete
157		2121108	2122544	complete
158		2119633	2121003	complete
159		4101625	4102998	complete
160		3484142	3484774	complete
161		2533856	2534365	complete
162		3718072	3718284	complete
163		629117	631222	complete
164		688566	690104	complete
165		2428297	2428785	complete
166		3989176	3991722	complete
167		1488926	1489456	complete
168		770681	772249	complete
169		772265	773404	complete
170		358713	359183	complete
171		358023	358682	complete
172		359216	360370	complete
173		449887	450834	complete
174		447874	449865	complete
175		447270	447884	complete
176		446941	447270	complete
177		446039	446929	complete
178		2537739	2538836	complete
179		1331879	1332853	complete
180		2871409	2872014	complete
181		2873443	2874351	complete
182		3779764	3780585	complete
183		3495850	3497223	complete
184		2885600	2886334	complete
185		2886409	2888121	complete
186		2888121	2889920	complete
187		2530431	2531402	complete
188		2536694	2537605	complete
189		2872014	2873441	complete
190		2540534	2541550	complete
191		553834	555219	complete
192		2539701	2540534	complete
193		2538826	2539701	complete
194		4121454	4122479	complete
195		661975	663186	complete
196		3326985	3328418	complete
197		879950	881152	complete
198		3513099	3513935	complete
199		2596904	2597782	complete
200		28374	29195	complete
201		185123	185947	complete
202		2589629	2590756	complete
203		3992785	3993609	complete
204		1407535	1408908	complete
205		2028923	2030341	complete
206		1623359	1625404	complete
207		399053	400147	complete
208		102233	103153	complete
209		3303993	3305882	complete
210		2432104	2432763	complete
211		2431034	2431948	complete
212		2429044	2429706	complete
213		4616252	4617574	complete
214		4617626	4618849	complete
215		4615346	4616125	complete
216		4618906	4619625	complete
217		881199	881957	complete
218		4254660	4255028	complete
219		179237	180754	complete
220		1645958	1646365	complete
221		1647633	1647821	complete
222		1645644	1645874	complete
223		2435972	2436967	complete
224		160149	160604	complete
225		2220207	2221922	complete
226		940182	942626	complete
227		942637	943254	complete
228		943256	944119	complete
