Assemblies                              IDBA_UD  Ray      SOAPdenovo2  SPAdes 
Actinomyces_graevenitzii_F0530          1601432  103364   154419       1444556
Actinomyces_odontolyticus               930307   1793577  1055002      738979 
Actinomyces_sp_ph3                      1669469  1828894  875648       1657997
Atopobium_parvulum                      659000   446798   63309        665577 
Campylobacter_concisus_13826            1766377  1101963  977638       1583135
Campylobacter_concisus_UNSWCD           1104053  667703   684272       982291 
Clostridiales_bacterium_OBRC5-5         1881887  176440   378097       1765809
Fusobacterium_periodonticum_ATCC_33693  1991024  2478326  1148076      2109769
Fusobacterium_periodonticum_D10         2288190  2484110  1948869      2385954
Gemella_sanguinis_M325                  1863428  2600527  748362       1779766
Haemophilus_parainfluenzae_ATCC_33392   969818   2429057  118320       1133647
Haemophilus_parainfluenzae_HK262        602449   1639870  84963        566721 
Neisseria_subflava                      2252667  2463898  2194820      2243874
Oribacterium_sinus_F0268                2573044  2652829  2498712      2585110
Prevotella_nanceiensis                  3245364  2327119  2597378      3223375
Prevotella_pallens_ATCC_700821          1310567  516591   561609       1080186
Rothia_dentocariosa                     412043   992370   4925         380195 
Rothia_mucilaginosa_DY-18               1872889  2454628  481458       1946091
Streptococcus_australis                 466424   2331746  151500       514785 
Streptococcus_australis_ATCC_700641     1471294  1035305  490615       1353228
Streptococcus_infantis_X                1152621  4207802  323333       1810264
Streptococcus_parasanguinis_ATCC_15912  1485785  3379424  623770       1421670
Streptococcus_salivarius_57I            1221868  2799355  532027       1163518
Streptococcus_salivarius_K12            1428815  2753314  607356       1724643
Veillonella_atypica_KON                 224360   297309   71977        171025 
Veillonella_dispar_ATCC_17748           1381962  1640676  615724       755834 
Veillonella_sp_oral_taxon_158           1573576  3727188  813549       1588764
