Assemblies	IDBA_UD	Ray	SOAPdenovo2	SPAdes
Actinomyces_graevenitzii_F0530	1.020	1.012	1.028	1.018
Actinomyces_odontolyticus	1.175	1.173	1.108	1.073
Actinomyces_sp_ph3	1.146	1.190	1.125	1.058
Atopobium_parvulum	1.018	1.006	1.012	1.012
Campylobacter_concisus_13826	1.162	1.076	1.078	1.089
Campylobacter_concisus_UNSWCD	1.294	1.083	1.074	1.077
Clostridiales_bacterium_OBRC5-5	1.021	1.010	1.011	1.023
Fusobacterium_periodonticum_ATCC_33693	1.182	1.238	1.116	1.149
Fusobacterium_periodonticum_D10	1.218	1.321	1.193	1.198
Gemella_sanguinis_M325	1.166	1.432	1.055	1.105
Haemophilus_parainfluenzae_ATCC_33392	1.249	1.330	1.021	1.153
Haemophilus_parainfluenzae_HK262	1.188	1.391	1.014	1.117
Neisseria_subflava	1.039	1.141	1.036	1.048
Oribacterium_sinus_F0268	1.153	1.245	1.162	1.190
Prevotella_nanceiensis	1.057	1.057	1.055	1.058
Prevotella_pallens_ATCC_700821	1.018	1.203	1.068	1.008
Rothia_dentocariosa	1.007	1.041	1.010	1.003
Rothia_mucilaginosa_DY-18	1.198	1.576	1.014	1.160
Streptococcus_australis	1.098	1.246	1.011	1.191
Streptococcus_australis_ATCC_700641	1.172	1.227	1.028	1.254
Streptococcus_infantis_X	1.242	1.402	1.042	1.742
Streptococcus_parasanguinis_ATCC_15912	1.271	1.343	1.086	1.191
Streptococcus_salivarius_57I	1.169	1.525	1.072	1.101
Streptococcus_salivarius_K12	1.171	1.403	1.102	1.132
Veillonella_atypica_KON	1.023	1.128	1.054	1.008
Veillonella_dispar_ATCC_17748	1.104	1.215	1.068	1.063
Veillonella_sp_oral_taxon_158	1.175	1.510	1.092	1.070
