Assemblies	Gold_Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
Brevibacterium_casei	3644954	3247639	740863	2272898	3357249
Brevibacterium_casei_S18	3644954	3219139	742467	2283096	3369808
Burkholderia_mallei_ATCC_10399	5172507	3938496	377054	1815150	4182738
Burkholderia_pseudomallei	3379716	3022403	319827	1528500	3463323
Chloroflexi_bacterium_SCGC_AB-629-P13	841036	840021	894776	832457	863608
Clostridium_sp_M621	1475374	398410	243292	16796	443371
Enterobacteriaceae_bacterium_LSJC7	4610012	4613330	3085333	4413644	4667505
Eubacterium_sp_3_1_31	6159994	3109793	3115823	1271809	3090222
Formosa_sp_AK20	3053013	3047484	2861002	3032419	3043661
Geobacillus_sp_JF8	3486242	3388753	2913946	3281683	3338536
Lachnospiraceae_bacterium_2_1_46FAA	4334734	2187288	1495852	2095828	2176645
Lachnospiraceae_bacterium_3-2	4331011	4025473	514391	2476254	3977895
Paenibacillus_peoriae	4962448	4990311	5015092	2446056	4981427
Patulibacter_americanus_DSM_16676	4470204	4462277	4711213	4383923	4456754
Patulibacter_medicamentivorans	5087205	5129804	5677313	5036628	5192746
Rhodobacter_sp_AKP1	1516561	403578	-	15719	615390
Rhodobacter_sphaeroides	1913455	408856	564	18341	667514
Sphingobium_yanoikuyae_ATCC_51230	44872	701798	79394	129037	655371
Sphingopyxis_sp_MC1	2282565	893367	2063	46590	1306286
Thermus_sp_CCB_US3_UF1	2263465	2234730	2234789	2194210	2211846
Weissella_koreensis_KACC_15510	1299279	927320	26588	259501	935147
alpha_proteobacterium_LLX12A	5938654	5431012	2264306	4907211	5533131
gamma_proteobacterium_SCGC_AAA076-D02	1619610	1622594	2026629	1035413	1631808
marine_gamma_proteobacterium_HTCC2080	3576049	3572113	3825616	272363	3573507
