Assemblies	IDBA_UD	Ray	SOAPdenovo2	SPAdes
Actinomyces_graevenitzii_F0530	792	393	416	962
Actinomyces_odontolyticus	641	421	489	438
Actinomyces_sp_ph3	889	668	508	521
Atopobium_parvulum	354	127	224	375
Campylobacter_concisus_13826	112	565	213	164
Campylobacter_concisus_UNSWCD	85	459	141	100
Clostridiales_bacterium_OBRC5-5	804	409	643	820
Fusobacterium_periodonticum_ATCC_33693	182	126	158	147
Fusobacterium_periodonticum_D10	232	148	315	198
Gemella_sanguinis_M325	858	363	918	413
Haemophilus_parainfluenzae_ATCC_33392	932	192	312	434
Haemophilus_parainfluenzae_HK262	610	118	225	298
Neisseria_subflava	72	36	70	54
Oribacterium_sinus_F0268	291	152	157	277
Prevotella_nanceiensis	66	345	186	59
Prevotella_pallens_ATCC_700821	537	44	41	649
Rothia_dentocariosa	914	24	33	846
Rothia_mucilaginosa_DY-18	796	217	986	374
Streptococcus_australis	383	284	310	444
Streptococcus_australis_ATCC_700641	828	389	564	772
Streptococcus_infantis_X	1473	551	443	1879
Streptococcus_parasanguinis_ATCC_15912	1713	615	733	1159
Streptococcus_salivarius_57I	1095	397	835	646
Streptococcus_salivarius_K12	1288	500	904	832
Veillonella_atypica_KON	590	67	67	558
Veillonella_dispar_ATCC_17748	661	306	460	444
Veillonella_sp_oral_taxon_158	1254	521	953	941
