Assembly	Gold_Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# misassemblies	97	356	0	6	174
    # relocations	50	56	0	0	38
    # translocations	36	299	0	6	136
    # inversions	11	1	0	0	0
# possibly misassembled contigs	9	56	0	0	29
# misassembled contigs	71	330	0	6	167
Misassembled contigs length	537661	492292	0	5794	252696
# local misassemblies	20	8	3	3	5
# structural variations	2	1	0	0	0
# mismatches	1030	8170	68	5652	24749
# indels	573	418	25	928	660
    # short indels	241	262	14	414	480
    # long indels	332	156	11	514	180
Indels length	6476	2415	153	6928	3269
