Assemblies                              IDBA_UD  Ray      SOAPdenovo2  SPAdes 
Actinomyces_graevenitzii_F0530          1767476  333781   376199       1687463
Actinomyces_odontolyticus               1158721  1873375  1192250      892035 
Actinomyces_sp_ph3                      1944848  1987018  1060146      1808801
Atopobium_parvulum                      741572   519190   180546       752264 
Campylobacter_concisus_13826            1787272  1244137  1014875      1600763
Campylobacter_concisus_UNSWCD           1123700  809327   701601       998568 
Clostridiales_bacterium_OBRC5-5         2031046  409856   736177       1922386
Fusobacterium_periodonticum_ATCC_33693  2024323  2486621  1188649      2128990
Fusobacterium_periodonticum_D10         2327345  2502442  2021002      2420957
Gemella_sanguinis_M325                  2146793  2668342  1143647      1922174
Haemophilus_parainfluenzae_ATCC_33392   1341028  2448098  289479       1304291
Haemophilus_parainfluenzae_HK262        863785   1651869  210304       708375 
Neisseria_subflava                      2271018  2465497  2209979      2253226
Oribacterium_sinus_F0268                2640921  2664775  2531390      2655273
Prevotella_nanceiensis                  3254892  2349386  2614391      3231313
Prevotella_pallens_ATCC_700821          1600274  521557   572944       1437971
Rothia_dentocariosa                     885347   1000362  23719        843673 
Rothia_mucilaginosa_DY-18               2154562  2543606  953949       2096621
Streptococcus_australis                 630541   2437114  299338       713862 
Streptococcus_australis_ATCC_700641     1752526  1177177  719761       1631348
Streptococcus_infantis_X                1813472  4310925  516627       2527852
Streptococcus_parasanguinis_ATCC_15912  2197907  3529459  936044       1872872
Streptococcus_salivarius_57I            1626023  2850649  924010       1387192
Streptococcus_salivarius_K12            1907799  2868917  1022604      2016966
Veillonella_atypica_KON                 553034   311984   99967        480701 
Veillonella_dispar_ATCC_17748           1585481  1691178  789550       896703 
Veillonella_sp_oral_taxon_158           2046301  3809572  1233247      1902589
