Assembly	Gold_Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# contigs (>= 1000 bp)	372	1167	61	779	1208
# contigs (>= 5000 bp)	228	61	0	0	65
# contigs (>= 10000 bp)	126	5	0	0	7
# contigs (>= 25000 bp)	33	2	0	0	1
# contigs (>= 50000 bp)	1	0	0	0	0
Total length (>= 1000 bp)	3623092	2833024	71344	1101157	2916180
Total length (>= 5000 bp)	3246574	468764	0	0	504782
Total length (>= 10000 bp)	2512192	116130	0	0	123688
Total length (>= 25000 bp)	1106480	73874	0	0	41118
Total length (>= 50000 bp)	74984	0	0	0	0
# contigs	403	1728	1101	2441	1807
Largest contig	74984	46742	1591	4028	41118
Total length	3644954	3247639	740863	2272898	3357249
Reference length	3664641	3664641	3664641	3664641	3664641
GC (%)	68.14	67.72	68.29	68.02	68.25
Reference GC (%)	68.12	68.12	68.12	68.12	68.12
N50	15743	2437	657	984	2366
NG50	15645	2149	-	664	2178
N75	8559	1433	570	719	1423
NG75	8271	1108	-	-	1177
L50	71	408	452	815	419
LG50	72	500	-	1676	486
L75	150	839	754	1492	877
LG75	152	1087	-	-	1054
# misassemblies	0	5	0	0	0
# misassembled contigs	0	5	0	0	0
Misassembled contigs length	0	11886	0	0	0
# local misassemblies	0	0	0	0	0
# structural variations	0	0	0	0	0
# unaligned contigs	0 + 0 part	0 + 162 part	0 + 0 part	0 + 1 part	0 + 92 part
Unaligned length	0	220596	0	98	199420
Genome fraction (%)	99.463	81.767	20.199	61.982	85.265
Duplication ratio	1.000	1.010	1.001	1.001	1.011
# N's per 100 kbp	0.00	0.00	0.00	118.75	0.00
# mismatches per 100 kbp	0.00	116.34	0.68	232.01	406.80
# indels per 100 kbp	0.00	1.03	0.00	42.44	3.49
Largest alignment	74984	11230	1591	4028	16031
NA50	15743	2147	657	984	2105
NGA50	15645	1903	-	664	1887
NA75	8559	1169	570	719	1203
NGA75	8271	821	-	-	964
LA50	71	471	452	815	492
LGA50	72	574	-	1676	570
LA75	150	979	754	1492	1019
LGA75	152	1296	-	-	1233
