Assemblies                              IDBA_UD  Ray     SOAPdenovo2  SPAdes
Actinomyces_graevenitzii_F0530          71.76    45.38   54.13        62.50 
Actinomyces_odontolyticus               50.51    53.96   44.60        53.37 
Actinomyces_sp_ph3                      36.06    31.05   49.17        50.06 
Atopobium_parvulum                      52.77    27.04   49.66        47.97 
Campylobacter_concisus_13826            85.65    56.19   82.87        80.01 
Campylobacter_concisus_UNSWCD           85.79    48.72   76.65        80.81 
Clostridiales_bacterium_OBRC5-5         47.55    41.97   47.79        45.86 
Fusobacterium_periodonticum_ATCC_33693  111.66   113.38  98.30        110.60
Fusobacterium_periodonticum_D10         97.04    95.90   92.90        95.43 
Gemella_sanguinis_M325                  68.93    76.57   43.33        64.67 
Haemophilus_parainfluenzae_ATCC_33392   53.04    55.24   43.26        53.34 
Haemophilus_parainfluenzae_HK262        43.56    59.26   41.49        57.75 
Neisseria_subflava                      37.16    37.47   38.00        36.40 
Oribacterium_sinus_F0268                105.26   100.74  95.63        107.92
Prevotella_nanceiensis                  69.73    63.64   73.50        70.04 
Prevotella_pallens_ATCC_700821          38.57    57.81   75.89        43.10 
Rothia_dentocariosa                     67.84    104.17  89.02        68.66 
Rothia_mucilaginosa_DY-18               130.52   196.11  58.37        170.41
Streptococcus_australis                 50.25    77.26   45.08        64.34 
Streptococcus_australis_ATCC_700641     64.44    71.81   51.69        69.57 
Streptococcus_infantis_X                89.64    99.54   75.30        89.05 
Streptococcus_parasanguinis_ATCC_15912  56.78    65.69   55.92        55.45 
Streptococcus_salivarius_57I            55.23    69.35   47.13        55.84 
Streptococcus_salivarius_K12            55.65    71.85   48.98        54.31 
Veillonella_atypica_KON                 33.10    103.55  16.40        27.60 
Veillonella_dispar_ATCC_17748           48.14    81.97   56.40        57.89 
Veillonella_sp_oral_taxon_158           62.50    80.75   45.51        58.32 
