Assemblies	IDBA_UD	Ray	SOAPdenovo2	SPAdes
Akkermansia_muciniphila_ATCC_BAA-835	0	-	-	0
Alistipes_putredinis	131715	0	0	0
Anaerotruncus_colihominis	71408	0	0	0
Bacteroides_caccae	118155	0	0	171043
Bacteroides_capillosus	0	0	0	0
Bacteroides_cellulosilyticus	0	88128	0	118876
Bacteroides_coprocola	0	-	-	-
Bacteroides_coprophilus	109347	142882	0	178946
Bacteroides_dorei	217961	108204	0	637731
Bacteroides_eggerthii	2090627	0	0	849821
Bacteroides_finegoldii	52119	0	0	0
Bacteroides_fragilis_3_1_12	318099	68072	0	362668
Bacteroides_fragilis_NCTC_9343	0	0	0	0
Bacteroides_fragilis_YCH46	0	0	0	0
Bacteroides_intestinalis	366546	68607	0	189063
Bacteroides_ovatus	77959	0	0	0
Bacteroides_pectinophilus	0	0	0	0
Bacteroides_plebeius	65305	0	0	144537
Bacteroides_sp_1_1_6	103500	88128	0	183607
Bacteroides_sp_2_1_7	114756	0	0	85875
Bacteroides_sp_2_2_4	0	0	0	135104
Bacteroides_sp_3_2_5	123909	0	0	194608
Bacteroides_sp_4_3_47FAA	568597	252019	0	699123
Bacteroides_sp_9_1_42FAA	0	53450	0	298762
Bacteroides_sp_D1	146986	0	0	50348
Bacteroides_sp_D4	110238	64174	0	456015
Bacteroides_sp_XB1A	0	0	0	0
Bacteroides_sp__4_3_47FAA	902174	191765	0	1381985
Bacteroides_sp__9_1_42FAA	389651	124191	0	354482
Bacteroides_stercoris	0	0	0	0
Bacteroides_thetaiotaomicron_VPI-5482	135583	0	0	198492
Bacteroides_uniformis	3380416	1518927	0	2992612
Bacteroides_vulgatus_ATCC_8482	1105297	181253	0	1547247
Bifidobacterium_pseudocatenulatum	0	0	-	0
Blautia_hansenii	0	0	0	0
Bryantella_formatexigens	166554	0	0	151962
Butyrivibrio_crossotus	455274	0	0	411523
Catenibacterium_mitsuokai	0	0	0	0
Clostridium_asparagiforme	164253	0	0	0
Clostridium_bartlettii	0	0	0	0
Clostridium_bolteae	94894	0	0	0
Clostridium_leptum	0	0	0	0
Clostridium_methylpentosum	215617	0	0	0
Clostridium_nexile	265753	0	0	0
Clostridium_scindens	0	0	0	0
Clostridium_sp_L2-50	449493	0	0	193695
Collinsella_aerofaciens	0	-	-	0
Coprococcus_comes	287153	0	0	291186
Coprococcus_eutactus	491219	0	0	53795
Dorea_formicigenerans	566464	0	0	57182
Dorea_longicatena	80507	0	0	57182
Enterococcus_faecalis_TX0104	135115	0	0	0
Eubacterium_biforme	293689	0	0	143151
Eubacterium_hallii	145481	0	0	253765
Eubacterium_rectale_M104_1	483963	0	0	387650
Eubacterium_siraeum	0	0	0	0
Eubacterium_ventriosum	234704	0	0	204041
Faecalibacterium_prausnitzii_SL3_3	124125	0	0	0
Holdemania_filiformis	71408	0	0	0
Mollicutes_bacterium_D7	135115	0	0	0
Parabacteroides_distasonis_ATCC_8503	553075	139054	0	149890
Parabacteroides_johnsonii	68188	60771	0	54211
Parabacteroides_merdae	409921	145509	0	92873
Prevotella_copri	375640	0	0	74266
Roseburia_intestinalis_M50_1	1339152	0	0	613452
Ruminococcus_bromii_L2-63	740124	0	0	0
Ruminococcus_gnavus	154503	0	0	57182
Ruminococcus_lactaris	1265222	0	0	669184
Ruminococcus_obeum_A2-162	144000	0	0	57182
Ruminococcus_torques_L2-14	144911	0	0	0
Subdoligranulum_variabile	73506	0	0	0
