Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# misassemblies	28	80	3	18
    # relocations	8	30	0	8
    # translocations	20	49	3	10
    # inversions	0	1	0	0
# possibly misassembled contigs	75	150	54	62
# misassembled contigs	27	61	3	17
Misassembled contigs length	79377	1095179	33947	83280
# local misassemblies	113	114	47	29
# structural variations	5	14	3	10
# mismatches	27898	44951	13431	33732
# indels	809	1365	323	848
    # short indels	657	1223	261	783
    # long indels	152	142	62	65
Indels length	4918	3639	2765	2151
