Assemblies                             Gold_Assembly  IDBA_UD  Ray     SOAPdenovo2  SPAdes
Brevibacterium_casei                   99.463         81.767   20.199  61.982       85.265
Brevibacterium_casei_S18               99.463         85.261   20.236  62.247       89.783
Burkholderia_mallei_ATCC_10399         85.190         61.661   6.344   30.515       66.936
Burkholderia_pseudomallei              45.771         35.362   4.418   21.132       38.974
Chloroflexi_bacterium_SCGC_AB-629-P13  99.791         99.357   97.843  98.686       99.005
Clostridium_sp_M621                    17.808         4.445    0.729   0.413        4.524 
Enterobacteriaceae_bacterium_LSJC7     99.851         99.191   65.686  95.303       99.057
Eubacterium_sp_3_1_31                  73.752         71.879   71.943  35.150       71.943
Formosa_sp_AK20                        99.919         99.725   91.338  99.125       99.536
Geobacillus_sp_JF8                     99.999         96.870   80.917  94.919       96.466
Lachnospiraceae_bacterium_2_1_46FAA    99.900         97.755   66.223  94.165       97.439
Lachnospiraceae_bacterium_3-2          98.858         88.466   11.737  56.528       88.741
Paenibacillus_peoriae                  45.040         44.928   44.902  39.412       44.882
Patulibacter_americanus_DSM_16676      99.992         99.785   99.781  97.783       99.490
Patulibacter_medicamentivorans         99.896         99.724   99.552  98.562       99.418
Rhodobacter_sp_AKP1                    31.993         5.812    -       0.334        7.484 
Rhodobacter_sphaeroides                40.755         6.269    0.012   0.376        8.240 
Sphingobium_yanoikuyae_ATCC_51230      0.811          10.454   1.426   2.302        10.181
Sphingopyxis_sp_MC1                    62.477         14.396   0.056   1.277        19.431
Thermus_sp_CCB_US3_UF1                 100.000        98.698   98.694  97.760       98.557
Weissella_koreensis_KACC_15510         90.713         63.015   1.868   18.246       63.252
alpha_proteobacterium_LLX12A           99.623         88.737   37.819  82.055       89.276
gamma_proteobacterium_SCGC_AAA076-D02  63.565         63.551   64.277  56.368       63.608
marine_gamma_proteobacterium_HTCC2080  99.999         99.877   99.901  7.615        99.879
