Assemblies	IDBA_UD	Ray	SOAPdenovo2	SPAdes
Akkermansia_muciniphila_ATCC_BAA-835	0.003	-	-	0.011
Alistipes_putredinis	1.366	0.595	0.610	1.117
Anaerotruncus_colihominis	2.466	2.067	1.768	2.320
Bacteroides_caccae	5.343	2.643	3.928	5.138
Bacteroides_capillosus	1.173	0.270	0.449	1.050
Bacteroides_cellulosilyticus	1.278	0.952	1.824	0.960
Bacteroides_coprocola	30.532	-	-	-
Bacteroides_coprophilus	1.330	3.467	2.617	2.331
Bacteroides_dorei	22.920	12.284	18.095	27.906
Bacteroides_eggerthii	70.516	32.495	56.920	68.387
Bacteroides_finegoldii	2.644	1.403	1.089	2.507
Bacteroides_fragilis_3_1_12	2.292	1.346	2.732	1.860
Bacteroides_fragilis_NCTC_9343	2.661	0.044	0.182	5.002
Bacteroides_fragilis_YCH46	3.150	0.623	1.478	4.292
Bacteroides_intestinalis	0.007	0.002	0.007	0.029
Bacteroides_ovatus	35.154	1.446	13.554	33.823
Bacteroides_pectinophilus	76.221	27.901	17.189	56.126
Bacteroides_plebeius	2.287	1.069	1.694	1.113
Bacteroides_sp_1_1_6	56.013	2.451	28.257	51.908
Bacteroides_sp_2_1_7	9.762	1.939	2.333	14.550
Bacteroides_sp_2_2_4	19.561	0.969	6.032	16.585
Bacteroides_sp_3_2_5	4.207	1.273	1.834	5.301
Bacteroides_sp_4_3_47FAA	43.090	43.504	53.578	33.927
Bacteroides_sp_9_1_42FAA	20.601	4.703	10.583	16.908
Bacteroides_sp_D1	30.119	0.886	7.678	24.432
Bacteroides_sp_D4	21.194	4.406	9.640	19.112
Bacteroides_sp_XB1A	26.146	0.523	4.408	18.252
Bacteroides_sp__4_3_47FAA	37.455	19.551	51.044	34.816
Bacteroides_sp__9_1_42FAA	24.471	8.069	10.012	20.919
Bacteroides_stercoris	0.828	0.225	1.886	1.430
Bacteroides_thetaiotaomicron_VPI-5482	45.003	1.475	11.501	34.928
Bacteroides_uniformis	69.266	67.241	56.949	68.969
Bacteroides_vulgatus_ATCC_8482	52.172	35.540	54.116	46.982
Bifidobacterium_pseudocatenulatum	0.031	0.010	-	0.008
Blautia_hansenii	1.504	1.040	1.005	1.586
Bryantella_formatexigens	0.228	0.083	0.061	0.150
Butyrivibrio_crossotus	4.825	2.673	3.133	4.531
Catenibacterium_mitsuokai	0.049	0.036	0.036	0.036
Clostridium_asparagiforme	0.426	0.110	0.301	0.203
Clostridium_bartlettii	0.551	0.232	0.242	0.642
Clostridium_bolteae	1.245	0.927	0.775	1.285
Clostridium_leptum	0.582	0.431	0.348	0.191
Clostridium_methylpentosum	0.140	0.147	0.160	0.143
Clostridium_nexile	2.964	1.585	1.742	2.612
Clostridium_scindens	1.100	0.699	0.710	1.079
Clostridium_sp_L2-50	5.713	1.426	3.303	5.847
Collinsella_aerofaciens	0.150	-	-	0.152
Coprococcus_comes	10.368	2.538	4.521	13.196
Coprococcus_eutactus	1.241	0.525	0.484	1.167
Dorea_formicigenerans	3.805	2.232	1.844	3.006
Dorea_longicatena	4.411	1.009	1.643	5.254
Enterococcus_faecalis_TX0104	0.104	0.125	0.034	0.062
Eubacterium_biforme	1.990	1.628	1.494	2.084
Eubacterium_hallii	3.430	1.033	1.301	4.013
Eubacterium_rectale_M104_1	5.270	2.364	2.762	6.102
Eubacterium_siraeum	0.550	0.350	0.406	0.231
Eubacterium_ventriosum	3.256	0.583	1.281	2.777
Faecalibacterium_prausnitzii_SL3_3	34.996	7.496	11.830	33.160
Holdemania_filiformis	1.070	0.537	0.373	1.008
Mollicutes_bacterium_D7	0.365	0.077	0.056	0.405
Parabacteroides_distasonis_ATCC_8503	7.578	0.434	0.320	10.754
Parabacteroides_johnsonii	0.378	0.202	1.272	0.320
Parabacteroides_merdae	1.951	1.267	1.121	1.813
Prevotella_copri	0.419	0.405	0.327	0.403
Roseburia_intestinalis_M50_1	46.739	3.522	14.425	47.498
Ruminococcus_bromii_L2-63	3.457	1.694	1.524	3.235
Ruminococcus_gnavus	1.573	0.894	0.750	1.039
Ruminococcus_lactaris	2.763	0.492	0.924	2.820
Ruminococcus_obeum_A2-162	4.378	1.356	1.703	4.493
Ruminococcus_torques_L2-14	10.239	1.780	3.368	12.088
Subdoligranulum_variabile	1.710	0.534	0.371	1.321
