Assemblies	IDBA_UD	Ray	SOAPdenovo2	SPAdes
Akkermansia_muciniphila_ATCC_BAA-835	4819.28	-	-	2649.01
Alistipes_putredinis	1130.95	493.91	372.89	1797.56
Anaerotruncus_colihominis	2331.69	1877.67	2384.72	2758.14
Bacteroides_caccae	1289.56	1266.71	1181.37	1290.70
Bacteroides_capillosus	1799.36	1084.39	1117.93	1966.24
Bacteroides_cellulosilyticus	902.99	900.63	521.00	600.05
Bacteroides_coprocola	941.18	-	-	-
Bacteroides_coprophilus	643.71	691.52	530.49	544.65
Bacteroides_dorei	1022.12	2041.27	919.45	1696.83
Bacteroides_eggerthii	721.24	725.57	849.80	797.10
Bacteroides_finegoldii	1800.99	2738.01	1985.59	2106.69
Bacteroides_fragilis_3_1_12	489.07	702.75	692.43	852.60
Bacteroides_fragilis_NCTC_9343	983.95	2840.91	2290.24	996.65
Bacteroides_fragilis_YCH46	771.82	246.24	331.97	916.18
Bacteroides_intestinalis	3076.92	3092.78	903.61	2086.44
Bacteroides_ovatus	1255.84	679.54	1103.46	1423.56
Bacteroides_pectinophilus	1212.15	1832.84	515.67	1093.36
Bacteroides_plebeius	1758.95	1142.18	1328.12	2114.82
Bacteroides_sp_1_1_6	1298.77	316.26	1146.72	1495.04
Bacteroides_sp_2_1_7	1053.00	1310.22	580.93	1122.06
Bacteroides_sp_2_2_4	1644.26	719.19	1253.60	1928.12
Bacteroides_sp_3_2_5	488.24	752.39	375.12	692.47
Bacteroides_sp_4_3_47FAA	673.88	559.66	489.47	816.13
Bacteroides_sp_9_1_42FAA	1082.41	1865.37	967.64	1327.61
Bacteroides_sp_D1	1769.16	578.24	1413.05	2020.99
Bacteroides_sp_D4	1122.44	1935.17	927.55	1628.07
Bacteroides_sp_XB1A	1795.91	150.30	1450.51	2058.33
Bacteroides_sp__4_3_47FAA	578.67	583.37	473.14	568.97
Bacteroides_sp__9_1_42FAA	1188.21	2286.21	935.99	1844.78
Bacteroides_stercoris	1519.52	2365.71	747.07	2197.15
Bacteroides_thetaiotaomicron_VPI-5482	1208.19	481.95	1076.55	1459.91
Bacteroides_uniformis	1479.65	1409.96	1199.33	1508.10
Bacteroides_vulgatus_ATCC_8482	518.35	482.56	435.95	539.82
Bifidobacterium_pseudocatenulatum	1386.96	3056.77	-	2061.86
Blautia_hansenii	2016.73	1885.61	1822.20	1830.81
Bryantella_formatexigens	751.16	1773.43	1668.48	1038.77
Butyrivibrio_crossotus	1603.31	1695.12	1726.54	1824.05
Catenibacterium_mitsuokai	2457.76	2601.46	2601.46	2601.46
Clostridium_asparagiforme	3737.16	1683.17	2468.18	2461.35
Clostridium_bartlettii	3472.90	2337.06	2820.23	3914.27
Clostridium_bolteae	1453.48	1314.73	1012.93	1912.75
Clostridium_leptum	876.73	425.74	281.07	1217.75
Clostridium_methylpentosum	617.67	547.73	772.55	1463.51
Clostridium_nexile	2104.50	1848.58	1685.49	2210.85
Clostridium_scindens	2496.80	728.20	621.71	2543.72
Clostridium_sp_L2-50	1091.92	854.19	911.01	1220.11
Collinsella_aerofaciens	2837.65	-	-	2637.24
Coprococcus_comes	1141.19	901.85	1007.55	1449.62
Coprococcus_eutactus	1722.26	1381.22	1570.51	1748.72
Dorea_formicigenerans	2196.92	2304.46	1895.34	2048.43
Dorea_longicatena	1567.04	1057.07	1056.17	2160.98
Enterococcus_faecalis_TX0104	913.80	3463.09	1491.15	0.00
Eubacterium_biforme	2660.47	2880.70	2610.24	2478.13
Eubacterium_hallii	1665.51	1715.46	1489.96	1533.92
Eubacterium_rectale_M104_1	1540.30	1354.41	1269.64	1615.95
Eubacterium_siraeum	586.91	848.46	859.44	1235.17
Eubacterium_ventriosum	1732.11	1392.21	1571.89	1847.55
Faecalibacterium_prausnitzii_SL3_3	3261.79	2363.56	2529.26	3345.95
Holdemania_filiformis	1575.98	1656.10	816.94	2100.56
Mollicutes_bacterium_D7	3688.05	4131.93	3496.50	3651.61
Parabacteroides_distasonis_ATCC_8503	788.01	2057.71	1504.83	967.49
Parabacteroides_johnsonii	1828.68	1656.16	489.14	2358.75
Parabacteroides_merdae	575.82	423.01	336.11	541.82
Prevotella_copri	3135.84	3075.63	3408.70	3099.41
Roseburia_intestinalis_M50_1	1110.84	1319.79	1128.78	1294.54
Ruminococcus_bromii_L2-63	2272.67	1858.27	2039.86	2388.97
Ruminococcus_gnavus	1699.07	1893.84	1375.03	1945.64
Ruminococcus_lactaris	2093.41	1509.52	1664.68	1956.38
Ruminococcus_obeum_A2-162	2173.69	2486.02	1942.49	2321.46
Ruminococcus_torques_L2-14	1597.51	1861.29	1628.70	1805.18
Subdoligranulum_variabile	2185.86	2031.28	1693.51	2064.19
