Assemblies	IDBA_UD	Ray	SOAPdenovo2	SPAdes
Akkermansia_muciniphila_ATCC_BAA-835	0	-	-	0
Alistipes_putredinis	0	0	0	0
Anaerotruncus_colihominis	0	0	0	0
Bacteroides_caccae	5	1	1	2
Bacteroides_capillosus	0	0	0	1
Bacteroides_cellulosilyticus	0	1	0	0
Bacteroides_coprocola	0	-	-	-
Bacteroides_coprophilus	3	7	1	5
Bacteroides_dorei	18	11	7	30
Bacteroides_eggerthii	53	11	20	46
Bacteroides_finegoldii	1	0	0	0
Bacteroides_fragilis_3_1_12	1	0	1	0
Bacteroides_fragilis_NCTC_9343	0	0	0	0
Bacteroides_fragilis_YCH46	0	0	0	3
Bacteroides_intestinalis	0	0	0	0
Bacteroides_ovatus	30	0	8	29
Bacteroides_pectinophilus	0	1	0	0
Bacteroides_plebeius	1	1	0	0
Bacteroides_sp_1_1_6	43	6	23	55
Bacteroides_sp_2_1_7	10	0	0	11
Bacteroides_sp_2_2_4	9	0	3	16
Bacteroides_sp_3_2_5	1	0	0	2
Bacteroides_sp_4_3_47FAA	41	39	5	32
Bacteroides_sp_9_1_42FAA	8	2	0	6
Bacteroides_sp_D1	23	1	5	20
Bacteroides_sp_D4	15	5	0	19
Bacteroides_sp_XB1A	10	0	5	8
Bacteroides_sp__4_3_47FAA	65	41	15	71
Bacteroides_sp__9_1_42FAA	4	9	0	13
Bacteroides_stercoris	1	0	0	0
Bacteroides_thetaiotaomicron_VPI-5482	22	0	12	13
Bacteroides_uniformis	50	47	8	44
Bacteroides_vulgatus_ATCC_8482	81	47	5	64
Bifidobacterium_pseudocatenulatum	0	0	-	0
Blautia_hansenii	0	1	2	1
Bryantella_formatexigens	0	0	0	0
Butyrivibrio_crossotus	5	1	0	3
Catenibacterium_mitsuokai	0	0	0	0
Clostridium_asparagiforme	0	0	0	0
Clostridium_bartlettii	1	0	0	1
Clostridium_bolteae	3	1	0	3
Clostridium_leptum	0	0	0	0
Clostridium_methylpentosum	0	0	0	0
Clostridium_nexile	2	2	2	5
Clostridium_scindens	0	0	0	0
Clostridium_sp_L2-50	1	0	1	0
Collinsella_aerofaciens	0	-	-	0
Coprococcus_comes	15	3	4	9
Coprococcus_eutactus	1	0	0	0
Dorea_formicigenerans	6	6	1	3
Dorea_longicatena	2	0	1	1
Enterococcus_faecalis_TX0104	0	0	0	0
Eubacterium_biforme	3	3	1	3
Eubacterium_hallii	5	1	1	7
Eubacterium_rectale_M104_1	11	3	5	3
Eubacterium_siraeum	0	0	0	0
Eubacterium_ventriosum	1	1	0	2
Faecalibacterium_prausnitzii_SL3_3	49	11	4	44
Holdemania_filiformis	3	1	0	2
Mollicutes_bacterium_D7	0	0	0	0
Parabacteroides_distasonis_ATCC_8503	1	0	0	2
Parabacteroides_johnsonii	0	0	0	0
Parabacteroides_merdae	0	0	0	0
Prevotella_copri	0	0	0	0
Roseburia_intestinalis_M50_1	36	3	12	35
Ruminococcus_bromii_L2-63	1	1	2	0
Ruminococcus_gnavus	0	0	0	0
Ruminococcus_lactaris	1	0	4	3
Ruminococcus_obeum_A2-162	5	0	1	1
Ruminococcus_torques_L2-14	7	1	3	3
Subdoligranulum_variabile	4	0	0	3
