Assemblies	IDBA_UD	Ray	SOAPdenovo2	SPAdes
Akkermansia_muciniphila_ATCC_BAA-835	0.00	-	-	9075.14
Alistipes_putredinis	79.91	0.00	5524.94	1401.63
Anaerotruncus_colihominis	24.07	1479.91	735.99	284.93
Bacteroides_caccae	204.68	2629.83	3626.18	725.28
Bacteroides_capillosus	409.20	0.00	4754.94	850.59
Bacteroides_cellulosilyticus	409.95	1119.02	818.45	831.32
Bacteroides_coprocola	0.00	-	-	-
Bacteroides_coprophilus	19.44	973.31	88.37	180.57
Bacteroides_dorei	140.89	1780.12	2715.16	398.46
Bacteroides_eggerthii	42.52	3837.64	1992.31	195.41
Bacteroides_finegoldii	469.49	218.13	6903.71	1308.68
Bacteroides_fragilis_3_1_12	29.68	1173.13	416.04	268.68
Bacteroides_fragilis_NCTC_9343	217.63	1641.39	10547.17	3504.79
Bacteroides_fragilis_YCH46	85.15	647.17	382.59	1335.20
Bacteroides_intestinalis	6.30	413.95	7946.13	5.43
Bacteroides_ovatus	310.25	801.03	9245.46	1429.69
Bacteroides_pectinophilus	186.70	1433.90	6752.14	171.16
Bacteroides_plebeius	82.30	734.36	1427.83	200.27
Bacteroides_sp_1_1_6	300.25	691.77	6857.07	766.10
Bacteroides_sp_2_1_7	245.51	1501.58	5069.47	2930.93
Bacteroides_sp_2_2_4	295.30	1206.41	7374.21	861.19
Bacteroides_sp_3_2_5	23.39	0.00	1241.80	590.24
Bacteroides_sp_4_3_47FAA	44.72	1302.68	336.76	73.18
Bacteroides_sp_9_1_42FAA	111.81	1150.04	1163.54	335.61
Bacteroides_sp_D1	301.75	279.65	9128.20	991.71
Bacteroides_sp_D4	89.04	1256.07	561.12	251.03
Bacteroides_sp_XB1A	158.53	585.06	7736.69	692.76
Bacteroides_sp__4_3_47FAA	14.60	590.31	29.97	30.39
Bacteroides_sp__9_1_42FAA	81.88	773.79	33.72	173.04
Bacteroides_stercoris	91.07	2357.84	1820.87	2407.92
Bacteroides_thetaiotaomicron_VPI-5482	166.09	922.63	4167.28	403.51
Bacteroides_uniformis	7.86	832.09	38.42	28.97
Bacteroides_vulgatus_ATCC_8482	31.74	905.80	160.06	110.69
Bifidobacterium_pseudocatenulatum	263.40	0.00	-	0.00
Blautia_hansenii	85.90	1165.26	1313.52	569.09
Bryantella_formatexigens	11.75	0.00	4697.75	169.58
Butyrivibrio_crossotus	56.53	1361.48	2159.06	206.53
Catenibacterium_mitsuokai	1345.63	1755.53	0.00	0.00
Clostridium_asparagiforme	81.55	3804.19	3071.82	292.05
Clostridium_bartlettii	24.07	0.00	10623.30	139.75
Clostridium_bolteae	23.81	1383.65	1607.39	253.45
Clostridium_leptum	106.58	0.00	3506.19	0.00
Clostridium_methylpentosum	0.00	1746.19	2059.84	681.87
Clostridium_nexile	99.56	2026.71	1996.05	468.65
Clostridium_scindens	0.00	597.24	2678.86	97.86
Clostridium_sp_L2-50	24.94	1763.03	4141.93	309.16
Collinsella_aerofaciens	0.00	-	-	9868.84
Coprococcus_comes	243.14	1864.55	4762.35	1211.75
Coprococcus_eutactus	22.84	1907.47	4138.52	166.59
Dorea_formicigenerans	53.87	2351.26	2829.94	595.77
Dorea_longicatena	58.00	2115.83	4708.36	1298.45
Enterococcus_faecalis_TX0104	0.00	3312.37	605.10	0.00
Eubacterium_biforme	19.95	849.51	808.29	157.94
Eubacterium_hallii	75.76	1280.36	4396.11	777.78
Eubacterium_rectale_M104_1	56.95	2003.17	3370.61	582.52
Eubacterium_siraeum	481.30	0.00	1100.80	913.56
Eubacterium_ventriosum	80.49	2305.67	3974.91	447.54
Faecalibacterium_prausnitzii_SL3_3	183.74	2938.66	8048.06	325.76
Holdemania_filiformis	175.16	1452.15	2193.17	125.55
Mollicutes_bacterium_D7	0.00	4129.13	10278.55	437.51
Parabacteroides_distasonis_ATCC_8503	55.01	675.87	12303.66	1230.65
Parabacteroides_johnsonii	43.50	1508.10	397.04	0.00
Parabacteroides_merdae	11.34	761.85	0.00	26.51
Prevotella_copri	18.47	1551.52	0.00	45.13
Roseburia_intestinalis_M50_1	253.91	2064.20	10247.80	1152.74
Ruminococcus_bromii_L2-63	54.70	4098.87	3589.88	126.80
Ruminococcus_gnavus	38.27	1136.42	982.78	127.40
Ruminococcus_lactaris	65.46	2377.62	6971.57	434.97
Ruminococcus_obeum_A2-162	89.94	4284.07	5178.40	700.39
Ruminococcus_torques_L2-14	141.51	1615.31	5921.04	1689.93
Subdoligranulum_variabile	199.93	2345.30	3362.91	326.83
