Assemblies                             IDBA_UD  Ray      SOAPdenovo2  SPAdes 
Akkermansia_muciniphila_ATCC_BAA-835   3247     -        -            1730   
Alistipes_putredinis                   281579   15670    20688        42308  
Anaerotruncus_colihominis              174481   152644   70110        173026 
Bacteroides_caccae                     482208   202751   259033       501602 
Bacteroides_capillosus                 81134    20275    24627        71127  
Bacteroides_cellulosilyticus           118064   163447   145763       207743 
Bacteroides_coprocola                  854      -        -            -      
Bacteroides_coprophilus                226371   473951   147104       303488 
Bacteroides_dorei                      2085384  982740   1207331      2486305
Bacteroides_eggerthii                  4021472  1690334  2833439      4244326
Bacteroides_finegoldii                 259646   116902   80015        333237 
Bacteroides_fragilis_3_1_12            505377   245838   162002       557173 
Bacteroides_fragilis_NCTC_9343         235720   96930    19939        510102 
Bacteroides_fragilis_YCH46             193771   52073    79197        292390 
Bacteroides_intestinalis               380696   68607    1485         239240 
Bacteroides_ovatus                     3031786  109609   1192098      3288959
Bacteroides_pectinophilus              75522    49097    5850         71278  
Bacteroides_plebeius                   193206   73261    81242        235177 
Bacteroides_sp_1_1_6                   4440942  217268   2268621      4678634
Bacteroides_sp_2_1_7                   704255   103824   132361       1059048
Bacteroides_sp_2_2_4                   1610892  147380   569512       1737254
Bacteroides_sp_3_2_5                   453119   86890    98647        586204 
Bacteroides_sp_4_3_47FAA               2784038  2739588  3001802      2221858
Bacteroides_sp_9_1_42FAA               1287925  328857   611581       1191257
Bacteroides_sp_D1                      2275745  71519    631472       2001690
Bacteroides_sp_D4                      1343289  317179   556206       1314995
Bacteroides_sp_XB1A                    1714464  64438    338323       1360204
Bacteroides_sp__4_3_47FAA              2773123  1287977  2799762      2570231
Bacteroides_sp__9_1_42FAA              1492346  608173   477422       1248268
Bacteroides_stercoris                  143852   62642    107586       171434 
Bacteroides_thetaiotaomicron_VPI-5482  3202386  163663   808776       2753572
Bacteroides_uniformis                  4378740  4211304  3066458      4794148
Bacteroides_vulgatus_ATCC_8482         3667823  2241322  2855174      3278380
Bifidobacterium_pseudocatenulatum      14047    3415     -            10486  
Blautia_hansenii                       100119   45140    33574        71518  
Bryantella_formatexigens               229832   31689    2895         174553 
Butyrivibrio_crossotus                 886224   123028   104536       819235 
Catenibacterium_mitsuokai              15829    7690     2354         6159   
Clostridium_asparagiforme              258741   14116    22918        54785  
Clostridium_bartlettii                 29076    7473     9931         44365  
Clostridium_bolteae                    306558   96050    62275        179129 
Clostridium_leptum                     27209    17402    13576        24829  
Clostridium_methylpentosum             260656   26343    6651         12319  
Clostridium_nexile                     677980   111955   96090        365516 
Clostridium_scindens                   48468    13060    12244        63356  
Clostridium_sp_L2-50                   809887   102721   120596       627177 
Collinsella_aerofaciens                4639     -        -            6252   
Coprococcus_comes                      979681   206216   181591       1139422
Coprococcus_eutactus                   586707   70722    19983        267127 
Dorea_formicigenerans                  1045093  194449   103677       494317 
Dorea_longicatena                      386187   86538    59405        410876 
Enterococcus_faecalis_TX0104           158804   8906     3801         17272  
Eubacterium_biforme                    325772   91111    46147        173487 
Eubacterium_hallii                     415798   118717   58165        585901 
Eubacterium_rectale_M104_1             1508421  418337   149083       1321670
Eubacterium_siraeum                    20985    9815     16806        21783  
Eubacterium_ventriosum                 565313   49183    43196        461630 
Faecalibacterium_prausnitzii_SL3_3     2466476  421246   686041       2203180
Holdemania_filiformis                  180974   51510    16369        133809 
Mollicutes_bacterium_D7                146201   3996     3590         26971  
Parabacteroides_distasonis_ATCC_8503   1072464  308196   28268        806483 
Parabacteroides_johnsonii              105745   72674    68759        105257 
Parabacteroides_merdae                 502466   174182   62138        196130 
Prevotella_copri                       536059   73412    31014        208277 
Roseburia_intestinalis_M50_1           4484330  467299   799108       4085904
Ruminococcus_bromii_L2-63              943382   70434    50141        408526 
Ruminococcus_gnavus                    224712   61245    34087        183669 
Ruminococcus_lactaris                  1567469  249157   37782        1027882
Ruminococcus_obeum_A2-162              652668   175674   101460       619513 
Ruminococcus_torques_L2-14             881229   154274   167403       868144 
Subdoligranulum_variabile              265598   30657    21410        192760 
