Assemblies                             IDBA_UD  Ray      SOAPdenovo2  SPAdes
Akkermansia_muciniphila_ATCC_BAA-835   0.00     -        -            0.00  
Alistipes_putredinis                   57.41    6.59     25.72        108.84
Anaerotruncus_colihominis              61.04    29.91    36.50        59.10 
Bacteroides_caccae                     57.24    35.82    36.15        68.73 
Bacteroides_capillosus                 50.26    0.00     47.24        26.93 
Bacteroides_cellulosilyticus           44.74    20.47    20.67        79.92 
Bacteroides_coprocola                  470.59   -        -            -     
Bacteroides_coprophilus                35.35    25.69    27.42        31.85 
Bacteroides_dorei                      41.46    43.25    16.23        58.77 
Bacteroides_eggerthii                  31.40    18.15    19.09        29.93 
Bacteroides_finegoldii                 42.07    87.65    28.67        68.51 
Bacteroides_fragilis_3_1_12            14.99    8.06     17.87        35.00 
Bacteroides_fragilis_NCTC_9343         19.49    131.12   31.66        96.40 
Bacteroides_fragilis_YCH46             15.64    6.08     7.69         65.35 
Bacteroides_intestinalis               615.38   1030.93  0.00         298.06
Bacteroides_ovatus                     42.20    27.62    15.57        58.70 
Bacteroides_pectinophilus              134.19   61.09    59.50        91.11 
Bacteroides_plebeius                   45.48    42.30    25.36        54.85 
Bacteroides_sp_1_1_6                   44.60    8.45     17.95        50.84 
Bacteroides_sp_2_1_7                   43.11    65.71    12.41        81.07 
Bacteroides_sp_2_2_4                   44.49    17.44    18.44        53.32 
Bacteroides_sp_3_2_5                   14.87    12.28    9.59         60.47 
Bacteroides_sp_4_3_47FAA               30.70    19.22    12.62        31.46 
Bacteroides_sp_9_1_42FAA               39.45    46.13    14.96        51.86 
Bacteroides_sp_D1                      47.90    22.68    22.67        54.94 
Bacteroides_sp_D4                      43.96    42.62    19.67        59.90 
Bacteroides_sp_XB1A                    48.70    3.20     20.12        52.99 
Bacteroides_sp__4_3_47FAA              28.60    22.18    10.83        22.80 
Bacteroides_sp__9_1_42FAA              35.85    38.09    11.94        53.98 
Bacteroides_stercoris                  41.23    43.41    19.39        85.23 
Bacteroides_thetaiotaomicron_VPI-5482  42.52    6.50     15.00        49.35 
Bacteroides_uniformis                  42.28    35.34    23.93        39.13 
Bacteroides_vulgatus_ATCC_8482         22.94    14.50    6.76         20.03 
Bifidobacterium_pseudocatenulatum      277.39   0.00     -            0.00  
Blautia_hansenii                       45.64    6.29     26.03        18.56 
Bryantella_formatexigens               0.00     0.00     0.00         87.78 
Butyrivibrio_crossotus                 55.63    22.48    23.02        56.59 
Catenibacterium_mitsuokai              153.61   104.06   104.06       104.06
Clostridium_asparagiforme              76.79    28.29    25.87        76.92 
Clostridium_bartlettii                 158.69   0.00     55.57        188.64
Clostridium_bolteae                    47.92    29.69    15.80        57.13 
Clostridium_leptum                     26.25    42.57    0.00         64.09 
Clostridium_methylpentosum             102.94   19.56    0.00         80.19 
Clostridium_nexile                     93.74    34.73    18.68        58.46 
Clostridium_scindens                   195.06   35.09    0.00         136.27
Clostridium_sp_L2-50                   43.25    18.98    15.37        42.83 
Collinsella_aerofaciens                409.28   -        -            161.46
Coprococcus_comes                      76.46    71.71    60.71        107.28
Coprococcus_eutactus                   57.15    85.94    6.65         66.30 
Dorea_formicigenerans                  78.63    59.45    38.10        70.10 
Dorea_longicatena                      48.99    23.79    22.96        71.16 
Enterococcus_faecalis_TX0104           0.00     25.28    0.00         51.05 
Eubacterium_biforme                    37.92    26.83    31.90        32.41 
Eubacterium_hallii                     42.52    26.48    21.02        48.46 
Eubacterium_rectale_M104_1             53.87    21.73    18.60        48.74 
Eubacterium_siraeum                    61.42    10.74    9.24         48.76 
Eubacterium_ventriosum                 59.91    47.80    16.32        65.22 
Faecalibacterium_prausnitzii_SL3_3     86.58    67.65    55.75        77.59 
Holdemania_filiformis                  45.16    23.66    27.23        37.83 
Mollicutes_bacterium_D7                84.52    36.25    49.95        62.36 
Parabacteroides_distasonis_ATCC_8503   30.17    52.64    12.97        71.70 
Parabacteroides_johnsonii              131.44   64.11    23.78        135.17
Parabacteroides_merdae                 26.43    21.24    8.00         22.27 
Prevotella_copri                       217.67   210.66   243.48       225.92
Roseburia_intestinalis_M50_1           56.23    52.76    22.08        80.53 
Ruminococcus_bromii_L2-63              77.17    41.99    72.96        107.22
Ruminococcus_gnavus                    67.16    35.13    26.66        49.47 
Ruminococcus_lactaris                  99.37    89.23    27.74        89.58 
Ruminococcus_obeum_A2-162              80.84    33.36    29.69        65.75 
Ruminococcus_torques_L2-14             48.81    36.99    22.21        75.26 
Subdoligranulum_variabile              104.52   11.54    33.21        81.63 
