Assemblies	Gold_Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
Brevibacterium_casei	0.00	1.03	0.00	42.44	3.49
Brevibacterium_casei_S18	0.00	1.41	0.00	42.65	4.19
Burkholderia_mallei_ATCC_10399	11.33	11.42	6.64	51.21	16.61
Burkholderia_pseudomallei	35.57	21.42	11.57	59.45	26.98
Chloroflexi_bacterium_SCGC_AB-629-P13	0.00	0.12	0.12	1.32	0.36
Clostridium_sp_M621	46.18	62.64	167.86	56.70	64.43
Enterobacteriaceae_bacterium_LSJC7	0.00	0.41	0.03	20.30	0.68
Eubacterium_sp_3_1_31	46.24	44.29	44.10	28.04	44.37
Formosa_sp_AK20	0.00	0.07	0.11	3.90	0.66
Geobacillus_sp_JF8	0.00	0.42	0.18	10.48	1.08
Lachnospiraceae_bacterium_2_1_46FAA	1.26	1.61	0.27	18.14	0.37
Lachnospiraceae_bacterium_3-2	0.02	1.24	0.00	35.13	2.32
Paenibacillus_peoriae	121.05	121.47	120.89	70.69	121.52
Patulibacter_americanus_DSM_16676	0.00	0.02	0.20	10.34	0.43
Patulibacter_medicamentivorans	0.02	0.51	0.02	10.78	1.80
Rhodobacter_sp_AKP1	23.13	27.96	-	44.87	32.01
Rhodobacter_sphaeroides	28.42	42.39	0.00	34.47	32.52
Sphingobium_yanoikuyae_ATCC_51230	20.06	47.72	1.27	39.25	47.93
Sphingopyxis_sp_MC1	0.00	7.03	0.00	34.28	12.11
Thermus_sp_CCB_US3_UF1	0.00	0.00	0.00	1.05	0.14
Weissella_koreensis_KACC_15510	0.00	1.45	0.00	37.76	2.56
alpha_proteobacterium_LLX12A	0.00	2.78	0.00	35.65	4.08
gamma_proteobacterium_SCGC_AAA076-D02	39.47	39.57	39.38	22.46	39.89
marine_gamma_proteobacterium_HTCC2080	0.00	0.39	0.48	0.00	0.48
