Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# misassemblies	30	8	8	19
    # relocations	8	4	0	7
    # translocations	22	4	8	12
    # inversions	0	0	0	0
# possibly misassembled contigs	35	31	42	36
# misassembled contigs	15	7	8	12
Misassembled contigs length	611159	39382	51509	246851
# local misassemblies	18	29	10	6
# structural variations	2	0	0	0
# mismatches	27145	23522	14304	25589
# indels	566	316	311	520
    # short indels	538	306	227	480
    # long indels	28	10	84	40
Indels length	1022	501	2069	1107
